,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,win,tie,loss
196610230chi,-0.021086550261334314,,,0.7492207140041544,0.2971396092188518,0.8698604742587589,-0.34865191265978596,0.38606165431638784,-0.013273476696582685,-0.6833892532078286,-0.5266428458182468,1.059700404279723,-0.37165330175587497,1.1148645077188744,-0.1989058245518411,0.6095551362978547,,,,-1.6283492028484288,0.09439593297800324,0.7962256655741901,0.5526162635075997,-1.2635359630044043,1.0,0.0,0.0
196610310crd,-0.9935997791623554,,,-0.42788855663177044,-0.625803236485008,-0.23632784690973618,-1.0119556018758282,-0.8389658924899482,-1.0345101291235137,-1.32142802065739,-1.1765655214554496,-0.4119996537646397,-1.291333342032886,-0.4912015518990765,-0.4707083996162372,-0.4619865285037884,,,,-1.230050122351392,-0.8785043562607862,-0.5220833010630357,-0.46388534592579855,-1.3226543485048794,0.0,0.0,1.0
196611060chi,-0.9896602001100944,,,-1.075298655481529,-1.318010370762903,-0.7990182784189472,-1.1451038250480834,-1.165972932117361,-1.2889961568306543,-0.8218143306286387,-1.2738701631562306,-0.9209022029317259,-0.655256632148517,-0.5118163062215895,-0.6766194413316885,-0.4957244662560703,,,,-1.0559303057406657,-0.9801225930288844,-1.3176145740337752,-1.2957179465409283,-1.1136565319228036,0.0,1.0,1.0
196611130chi,-1.2344768983577472,,,-0.43524548957324494,0.10017009946497932,-0.8644473983618784,-1.319415228494633,-1.456475073078964,-1.5277054227122853,-1.344346079833021,-1.40626507745428,-0.6442173218311742,-0.9921901031255788,-0.4596904274346638,-0.32142289437253485,-0.45635322146625157,,,,-0.8437217792463427,-1.0700058100065826,-0.5694363530255798,-0.7554843183584751,-0.8734067053845297,0.0,1.0,1.0
196611200gnb,-1.0716409641976226,,,-0.6584057887979723,-1.0159904558069652,0.3161847214972408,-1.2330433465431658,-0.657594185434556,-1.0491436473384794,-0.9914079685283065,-1.260756110491049,-0.010147802642410069,-1.2814443093417356,-0.8245715789431427,-0.9099852886092001,-0.6393634783011058,,,,-0.6024932833168988,-1.1099219309103512,-0.34108941356175637,-0.1749748746573951,-0.46018568485257516,0.0,0.0,1.0
196611270chi,0.11758663237825559,,,0.09003952244803645,-0.01801160638734422,0.16148120234328747,0.0951013300220127,0.4075803314246546,0.12885456896627281,-0.3240340853339378,-0.004726356792137802,1.2994939679002013,0.2671782100924576,1.0406513921578278,0.26233490889077005,0.627581718817973,,,,-0.5009233902939749,0.3842988850970368,0.10676522899954888,0.9565118614941368,-0.6437044322064729,1.0,0.0,0.0
196612040clt,-1.0668657168615483,,,-0.30884000539700074,-0.4907384297966384,-0.6979005475980529,-1.462681852357498,-1.2444671974781982,-1.3587755895687799,-1.458102991741152,-1.5074039689969763,-0.3203702450884829,-1.114229756564097,-0.5097280583811269,-0.19366445258090245,-0.38083539215885065,,,,-0.7086799896590463,-1.121588154861835,-0.7803726754041851,-0.451082064157478,-0.6248111716420438,0.0,0.0,1.0
196612110sfo,-1.321147637507491,,,-0.6412396119345318,-0.33316282199354036,-0.7423130411350731,-1.3803003256079622,-1.5183412697652312,-1.5036973068908566,-1.0555785342200728,-1.3980545401334707,-0.7710312256689269,-1.05399655744527,-0.6266699374470187,-0.7178016496747789,-0.6301190770087375,,,,-0.4247459705267821,-1.198259663901121,-0.7241229894365568,-0.8640584038387269,-0.4267633964271965,0.0,0.0,1.0
196612180chi,0.020127507516166418,,,0.4560752321823231,0.38198801342052013,0.967567960040203,-0.04017468181118011,0.4944826812849632,0.20863538461901956,-0.30034033800159327,-0.04615799127252928,0.9972689439288295,-0.07193954173177021,0.4998470987616885,-0.16342576813317883,0.45574252094868023,,,,-0.04385887169081801,0.2100017426960178,0.914535444631377,0.42814025043085563,-0.048834442694068426,1.0,0.0,0.0
196609180cle,-0.7144524634592845,,,2.5001707540750924,2.3456225106591266,-1.2308504700422949,-0.5165815060932935,-0.463926091460154,-0.908296034519433,1.8320969219094074,-0.5811060767129484,-0.7479741522438811,0.20191059433086328,-0.8740469893171738,0.4353001839317492,-0.7722517468789004,,,,-0.9579879088971319,-0.7255334170856497,0.4249777381878448,-0.4297620619177194,-0.5452606008444482,0.0,0.0,1.0
196609250cle,-1.1399270011034812,,,0.33723246928158057,0.9274420404312441,-1.2308504700422949,-1.0433083927481404,-1.2063204516953614,-1.369251858290858,1.0620501336082127,-1.1886858384528345,-1.0246590333444328,-0.06509328833020449,-0.9729978100652359,-0.42952619127314684,-0.7358519167902001,,,,-1.1865201681987105,-1.039788933434571,-0.3705535347828949,-1.1202932455721213,-1.2015528099246113,0.0,0.0,1.0
