,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
196709170pit,,6,,,5,4,2,79,16,8,0,88,3,13,18,0,16,,,,1,95,6,44,9,"Sunday Sep 17, 1967",,23,,,1,1,1,198,25,15,2,232,6,41,42,3,195,,,,4,393,2,40,34,CHI,Chicago Bears,Pitt Stadium,,Home,PIT,Pittsburgh Steelers
196709170phi,,21,,,3,1,0,304,46,25,1,324,3,24,21,1,84,,,,3,388,1,35,20,"Sunday Sep 17, 1967",,18,,,2,2,0,276,27,18,2,301,5,35,27,3,150,,,,3,426,2,51,25,WAS,Washington Redskins,Franklin Field,,Home,PHI,Philadelphia Eagles
196709170nor,,23,,,2,1,0,292,37,17,1,302,6,27,34,2,170,,,,2,462,1,56,10,"Sunday Sep 17, 1967",,17,,,1,1,2,174,40,19,0,200,8,13,22,0,125,,,,4,299,3,72,26,NOR,New Orleans Saints,Tulane Stadium,,Away,RAM,Los Angeles Rams
196709170min,,20,,,1,0,1,120,26,11,0,133,6,27,42,3,240,,,,1,360,1,65,13,"Sunday Sep 17, 1967",,19,,,3,1,2,187,36,18,1,187,5,21,27,2,148,,,,0,335,3,25,0,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,SFO,San Francisco 49ers
196709170gnb,,10,,,1,1,0,41,17,7,0,41,4,17,39,1,192,,,,0,233,1,52,0,"Sunday Sep 17, 1967",,13,,,1,1,4,263,23,14,0,321,3,17,20,2,43,,,,7,306,5,38,58,GNB,Green Bay Packers,Lambeau Field,,Away,DET,Detroit Lions
196709170crd,,15,,,0,0,0,232,20,7,3,232,4,37,35,2,104,,,,0,336,0,30,0,"Sunday Sep 17, 1967",,20,,,3,2,4,153,30,10,1,166,6,20,37,1,205,,,,1,358,6,55,13,CRD,St. Louis Cardinals,Civic Center Busch Memorial Stadium,,Away,NYG,New York Giants
196709170clt,,13,,,1,1,4,199,30,18,1,217,4,31,27,1,104,,,,2,303,5,46,18,"Sunday Sep 17, 1967",,20,,,3,1,1,419,33,23,2,419,3,38,31,2,89,,,,0,508,2,32,0,ATL,Atlanta Falcons,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196709170cle,,19,,,4,3,1,189,23,14,2,205,2,21,43,0,181,,,,2,370,4,19,16,"Sunday Sep 17, 1967",,12,,,0,0,3,210,37,17,1,239,2,14,17,1,11,,,,4,221,3,30,29,CLE,Cleveland Browns,Cleveland Municipal Stadium,,Away,DAL,Dallas Cowboys
196709220ram,,13,,,2,2,4,176,34,13,0,202,14,3,21,0,48,,,,6,224,6,173,26,"Friday Sep 22, 1967",,16,,,2,1,1,121,29,9,2,146,10,39,36,1,116,,,,2,237,2,94,25,MIN,Minnesota Vikings,Los Angeles Memorial Coliseum,,Home,RAM,Los Angeles Rams
196709240nor,,17,,,1,0,1,211,20,13,1,211,6,30,31,3,158,,,,0,369,1,45,0,"Sunday Sep 24, 1967",,13,,,1,0,0,209,38,19,1,257,7,10,22,0,81,,,,6,290,0,57,48,NOR,New Orleans Saints,Tulane Stadium,,Away,WAS,Washington Redskins
