,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
196709240gnb,,6,,,0,0,1,19,12,5,0,23,5,10,30,1,140,,,,1,159,1,29,4,"Sunday Sep 24, 1967",,24,,,3,3,5,132,20,11,0,132,2,13,51,1,233,,,,0,365,8,20,0,CHI,Chicago Bears,Lambeau Field,,Home,GNB,Green Bay Packers
196709240det,,15,,,1,1,2,78,19,9,1,87,2,14,25,1,191,,,,1,269,3,25,9,"Sunday Sep 24, 1967",,29,,,0,0,0,223,27,16,1,229,6,31,51,3,238,,,,1,461,0,62,6,CLE,Cleveland Browns,Tiger Stadium,,Home,DET,Detroit Lions
196709240dal,,15,,,2,0,3,190,35,18,2,235,5,24,12,1,76,,,,4,266,3,53,45,"Sunday Sep 24, 1967",,23,,,4,1,0,236,29,16,4,243,5,38,42,1,178,,,,1,414,1,49,7,NYG,New York Giants,Cotton Bowl,,Home,DAL,Dallas Cowboys
196709240sfo,,10,,,1,0,1,33,21,10,0,108,3,7,19,1,64,,,,8,97,1,30,75,"Sunday Sep 24, 1967",,25,,,2,0,2,337,37,22,2,353,10,38,34,3,180,,,,1,517,2,96,16,ATL,Atlanta Falcons,Kezar Stadium,,Home,SFO,San Francisco 49ers
196709240pit,,12,,,2,0,1,137,26,8,0,137,7,28,37,1,146,,,,0,283,1,87,0,"Sunday Sep 24, 1967",,17,,,5,3,3,143,30,11,1,176,2,14,28,1,94,,,,5,237,6,20,33,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,CRD,St. Louis Cardinals
196709240phi,,21,,,0,0,0,273,35,22,2,273,1,38,28,3,72,,,,0,345,0,9,0,"Sunday Sep 24, 1967",,16,,,1,0,4,241,38,22,0,268,2,6,17,0,58,,,,5,299,4,20,27,PHI,Philadelphia Eagles,Franklin Field,,Away,CLT,Baltimore Colts
196710010nor,,23,,,2,1,3,223,26,13,3,248,4,42,45,2,198,,,,3,421,4,30,25,"Sunday Oct 1, 1967",,17,,,1,1,4,198,40,19,0,231,3,7,21,1,68,,,,4,266,5,30,33,NOR,New Orleans Saints,Tulane Stadium,,Away,CLE,Cleveland Browns
196710010min,,17,,,1,0,0,27,11,7,0,42,9,17,49,1,194,,,,2,221,0,91,15,"Sunday Oct 1, 1967",,12,,,1,1,1,137,21,10,1,142,6,7,27,0,63,,,,1,200,2,57,5,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,CHI,Chicago Bears
196710010gnb,,8,,,0,0,2,19,23,12,0,100,5,0,19,0,39,,,,8,58,2,50,81,"Sunday Oct 1, 1967",,23,,,1,0,2,205,34,17,2,228,3,23,38,1,177,,,,2,382,2,25,23,ATL,Atlanta Falcons,Milwaukee County Stadium,,Home,GNB,Green Bay Packers
196710010dal,,25,,,1,0,1,135,27,14,0,151,3,35,37,4,221,,,,2,356,1,33,16,"Sunday Oct 1, 1967",,20,,,1,1,3,221,41,21,1,237,5,13,24,1,51,,,,2,272,4,65,16,DAL,Dallas Cowboys,Cotton Bowl,,Away,RAM,Los Angeles Rams
196710010crd,,20,,,2,2,1,194,26,17,2,206,6,28,26,1,116,,,,1,310,3,50,12,"Sunday Oct 1, 1967",,21,,,1,0,1,313,27,19,2,313,7,38,35,3,90,,,,0,403,1,87,0,DET,Detroit Lions,Civic Center Busch Memorial Stadium,,Home,CRD,St. Louis Cardinals
196710010clt,,15,,,1,0,2,171,32,16,1,187,5,7,21,0,69,,,,3,240,2,55,16,"Sunday Oct 1, 1967",,26,,,0,0,0,382,40,24,3,385,7,41,34,2,142,,,,1,524,0,54,3,SFO,San Francisco 49ers,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196710010was,,20,,,4,3,0,294,30,19,3,317,6,34,26,1,226,,,,3,520,3,69,23,"Sunday Oct 1, 1967",,23,,,2,1,1,276,36,22,2,285,3,38,29,2,129,,,,1,405,2,51,9,NYG,New York Giants,District of Columbia Stadium,,Home,WAS,Washington Redskins
196710010phi,,19,,,2,0,3,165,27,13,1,180,3,24,30,2,153,,,,2,318,3,44,15,"Sunday Oct 1, 1967",,17,,,2,1,0,271,25,17,4,284,8,34,29,0,48,,,,2,319,1,71,13,PIT,Pittsburgh Steelers,Franklin Field,,Home,PHI,Philadelphia Eagles
196710070cle,,20,,,2,1,3,208,35,23,1,218,5,10,25,0,70,,,,1,278,4,69,10,"Saturday Oct 7, 1967",,24,,,1,0,3,183,25,11,3,190,3,21,38,0,178,,,,1,361,3,28,7,PIT,Pittsburgh Steelers,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196710080min,,18,,,1,1,2,247,27,14,2,247,5,34,34,2,165,,,,0,412,3,34,0,"Sunday Oct 8, 1967",,16,,,1,1,2,236,22,12,1,281,8,24,31,1,101,,,,5,337,3,74,45,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,CRD,St. Louis Cardinals
196710080det,,16,,,2,2,2,131,19,12,2,154,3,27,45,0,118,,,,2,249,4,37,23,"Sunday Oct 8, 1967",,7,,,3,2,3,59,25,10,1,97,4,17,18,0,63,,,,5,122,5,34,38,DET,Detroit Lions,Tiger Stadium,,Away,GNB,Green Bay Packers
196710080chi,,15,,,2,1,3,149,37,19,1,149,4,24,18,0,70,,,,0,219,4,50,0,"Sunday Oct 8, 1967",,15,,,3,1,4,201,31,18,0,229,8,3,36,0,71,,,,3,272,5,90,28,CHI,Chicago Bears,Wrigley Field,,Away,CLT,Baltimore Colts
196710080atl,,18,,,0,0,0,179,21,10,2,197,7,38,36,2,201,,,,1,380,0,84,18,"Sunday Oct 8, 1967",,17,,,2,2,4,223,41,21,1,228,10,7,21,0,85,,,,1,308,6,74,5,ATL,Atlanta Falcons,Atlanta Stadium,,Away,PHI,Philadelphia Eagles
196710080was,,18,,,1,0,2,205,31,17,2,237,6,17,36,0,115,,,,3,320,2,59,32,"Sunday Oct 8, 1967",,14,,,3,2,1,237,33,20,1,260,4,14,19,1,16,,,,3,253,3,29,23,WAS,Washington Redskins,District of Columbia Stadium,,Away,DAL,Dallas Cowboys
196710080ram,,14,,,0,0,3,269,35,18,3,269,4,27,30,0,66,,,,0,335,3,46,0,"Sunday Oct 8, 1967",,16,,,5,3,3,128,22,13,1,147,2,24,32,1,125,,,,3,253,6,17,19,RAM,Los Angeles Rams,Los Angeles Memorial Coliseum,,Away,SFO,San Francisco 49ers
196710080nyg,,16,,,0,0,1,138,28,14,2,156,5,21,17,1,72,,,,2,210,1,42,18,"Sunday Oct 8, 1967",,28,,,0,0,1,348,28,18,2,348,11,27,45,2,187,,,,0,535,1,95,0,NOR,New Orleans Saints,Yankee Stadium,,Home,NYG,New York Giants
196710150dal,,12,,,2,2,1,165,40,20,0,206,8,10,19,0,42,,,,6,207,3,100,41,"Sunday Oct 15, 1967",,18,,,4,1,2,109,30,11,1,128,7,14,35,1,125,,,,2,234,3,80,19,NOR,New Orleans Saints,Cotton Bowl,,Home,DAL,Dallas Cowboys
196710150clt,,19,,,1,0,1,282,31,19,3,297,11,24,31,0,128,,,,2,410,1,121,15,"Sunday Oct 15, 1967",,20,,,1,1,1,270,34,21,2,288,5,24,24,1,98,,,,3,368,2,35,18,CLT,Baltimore Colts,Memorial Stadium (Baltimore),,Away,RAM,Los Angeles Rams
196710150cle,,18,,,2,2,3,217,35,15,0,228,2,16,39,1,132,,,,1,349,5,35,11,"Sunday Oct 15, 1967",,8,,,0,0,1,114,18,7,2,133,7,20,31,0,109,,,,2,223,1,65,19,CRD,St. Louis Cardinals,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196710150chi,,9,,,1,1,2,126,32,13,0,143,4,3,20,0,42,,,,2,168,3,30,17,"Sunday Oct 15, 1967",,14,,,2,2,1,28,4,3,0,37,5,14,55,1,237,,,,1,265,3,45,9,DET,Detroit Lions,Wrigley Field,,Home,CHI,Chicago Bears
196710150atl,,23,,,2,1,2,334,42,29,3,343,8,20,32,0,81,,,,1,415,3,77,9,"Sunday Oct 15, 1967",,15,,,3,2,0,215,30,18,1,215,7,20,26,1,108,,,,0,323,2,75,0,ATL,Atlanta Falcons,Atlanta Stadium,,Away,WAS,Washington Redskins
196710150pit,,18,,,1,1,1,305,30,19,2,305,6,27,32,2,76,,,,0,381,2,60,0,"Sunday Oct 15, 1967",,16,,,2,1,1,197,27,13,2,220,4,24,28,1,62,,,,2,259,2,45,23,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,NYG,New York Giants
196710150phi,,24,,,2,0,0,216,28,17,0,216,6,28,43,3,170,,,,0,386,0,103,0,"Sunday Oct 15, 1967",,15,,,1,0,0,201,30,15,3,247,4,27,12,0,43,,,,5,244,0,66,46,PHI,Philadelphia Eagles,Franklin Field,,Away,SFO,San Francisco 49ers
196710150gnb,,10,,,1,0,2,25,11,2,0,25,2,10,45,1,158,,,,0,183,2,10,0,"Sunday Oct 15, 1967",,10,,,0,0,3,226,25,15,1,240,6,7,26,0,42,,,,2,268,3,61,14,GNB,Green Bay Packers,Milwaukee County Stadium,,Away,MIN,Minnesota Vikings
196710220nyg,,28,,,0,0,0,148,21,9,1,172,3,48,45,5,249,,,,2,397,0,25,24,"Sunday Oct 22, 1967",,20,,,1,1,3,181,28,14,3,203,5,21,30,0,143,,,,2,324,4,43,22,NYG,New York Giants,Yankee Stadium,,Away,GNB,Green Bay Packers
196710220min,,22,,,0,0,1,225,34,20,1,235,6,20,35,1,118,,,,1,343,1,55,10,"Sunday Oct 22, 1967",,19,,,2,0,0,195,25,15,1,202,9,20,33,1,115,,,,1,310,0,110,7,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,CLT,Baltimore Colts
196710220det,,12,,,1,0,1,87,26,11,0,123,8,3,32,0,136,,,,4,223,1,80,36,"Sunday Oct 22, 1967",,15,,,2,0,1,110,22,11,2,127,3,24,35,0,140,,,,3,250,1,30,17,ATL,Atlanta Falcons,Tiger Stadium,,Home,DET,Detroit Lions
196710220crd,,17,,,0,0,2,248,32,16,2,321,9,14,22,0,71,,,,7,319,2,80,73,"Sunday Oct 22, 1967",,22,,,0,0,0,267,32,16,4,267,3,48,35,1,149,,,,0,416,0,36,0,PHI,Philadelphia Eagles,Civic Center Busch Memorial Stadium,,Home,CRD,St. Louis Cardinals
196710220cle,,9,,,2,1,1,116,27,15,0,155,7,0,22,0,20,,,,5,136,2,81,39,"Sunday Oct 22, 1967",,23,,,1,1,0,158,29,14,2,199,7,24,37,1,189,,,,4,347,1,68,41,CHI,Chicago Bears,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196710220sfo,,12,,,1,0,2,128,29,14,1,164,5,13,21,0,72,,,,5,200,2,43,36,"Sunday Oct 22, 1967",,20,,,2,1,0,182,40,20,2,198,7,27,32,1,136,,,,2,318,1,82,16,NOR,New Orleans Saints,Kezar Stadium,,Home,SFO,San Francisco 49ers
196710220ram,,17,,,0,0,0,305,41,18,4,334,9,28,17,0,49,,,,3,354,0,54,29,"Sunday Oct 22, 1967",,24,,,0,0,1,249,37,21,2,296,4,28,33,2,189,,,,4,438,1,30,47,RAM,Los Angeles Rams,Los Angeles Memorial Coliseum,,Away,WAS,Washington Redskins
196710220pit,,14,,,1,0,1,290,25,17,3,297,8,24,26,0,88,,,,1,378,1,91,7,"Sunday Oct 22, 1967",,29,,,2,1,1,298,46,28,2,313,4,21,29,1,81,,,,1,379,2,50,15,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,DAL,Dallas Cowboys
196710290phi,,13,,,2,2,3,192,29,14,2,199,5,14,29,0,114,,,,1,306,5,53,7,"Sunday Oct 29, 1967",,23,,,4,4,2,165,33,20,1,172,6,21,35,2,176,,,,1,341,6,78,7,DAL,Dallas Cowboys,Franklin Field,,Home,PHI,Philadelphia Eagles
196710290nyg,,17,,,5,3,1,259,25,13,3,280,3,34,25,1,110,,,,3,369,4,25,21,"Sunday Oct 29, 1967",,22,,,2,1,1,249,30,18,3,283,6,38,34,2,137,,,,3,386,2,60,34,CLE,Cleveland Browns,Yankee Stadium,,Home,NYG,New York Giants
196710290nor,,19,,,1,0,4,88,26,13,1,109,5,14,34,1,179,,,,2,267,4,65,21,"Sunday Oct 29, 1967",,19,,,0,0,1,225,35,19,0,236,5,10,27,1,83,,,,2,308,1,75,11,NOR,New Orleans Saints,Tulane Stadium,,Away,PIT,Pittsburgh Steelers
196710290chi,,20,,,5,2,1,144,19,8,3,158,10,28,45,1,165,,,,2,309,3,84,14,"Sunday Oct 29, 1967",,11,,,2,1,3,88,29,8,1,116,6,17,28,1,92,,,,2,180,4,70,28,CHI,Chicago Bears,Wrigley Field,,Away,RAM,Los Angeles Rams
196710290atl,,22,,,2,0,2,137,29,13,2,174,6,20,41,0,177,,,,4,314,2,49,37,"Sunday Oct 29, 1967",,12,,,2,2,0,91,17,9,2,118,7,21,25,0,95,,,,3,186,2,45,27,MIN,Minnesota Vikings,Atlanta Stadium,,Home,ATL,Atlanta Falcons
196710290was,,21,,,1,1,1,236,33,19,1,242,1,17,31,1,115,,,,1,351,2,4,6,"Sunday Oct 29, 1967",,19,,,3,2,1,226,35,25,1,226,3,13,27,0,96,,,,0,322,3,35,0,WAS,Washington Redskins,District of Columbia Stadium,,Away,CLT,Baltimore Colts
196710290sfo,,24,,,2,2,0,162,33,17,1,162,4,45,44,4,229,,,,0,391,2,40,0,"Sunday Oct 29, 1967",,10,,,1,1,5,91,33,10,0,130,6,3,22,0,82,,,,4,173,6,76,39,SFO,San Francisco 49ers,Kezar Stadium,,Away,DET,Detroit Lions
196710300crd,,16,,,0,0,2,117,26,11,1,117,5,31,24,1,129,,,,0,246,2,29,0,"Monday Oct 30, 1967",,19,,,2,0,2,289,29,16,2,317,2,23,37,0,116,,,,3,405,2,27,28,CRD,St. Louis Cardinals,Civic Center Busch Memorial Stadium,,Away,GNB,Green Bay Packers
196711050nor,,20,,,0,0,2,263,36,19,3,292,5,24,26,0,96,,,,3,359,2,54,29,"Sunday Nov 5, 1967",,13,,,2,0,2,137,16,9,1,151,1,31,35,0,112,,,,2,249,2,5,14,PHI,Philadelphia Eagles,Tulane Stadium,,Home,NOR,New Orleans Saints
196711050min,,17,,,6,2,0,238,23,12,3,270,7,24,36,0,165,,,,3,403,2,97,32,"Sunday Nov 5, 1967",,17,,,2,1,2,115,20,11,0,125,10,27,38,2,189,,,,2,304,3,151,10,NYG,New York Giants,Metropolitan Stadium,,Home,MIN,Minnesota Vikings
196711050det,,9,,,1,1,1,60,18,7,0,75,5,27,36,1,120,,,,2,180,2,72,15,"Sunday Nov 5, 1967",,12,,,3,3,1,83,34,6,1,100,7,13,27,1,91,,,,2,174,4,75,17,DET,Detroit Lions,Tiger Stadium,,Away,CHI,Chicago Bears
196711050dal,,13,,,3,2,3,157,35,18,1,189,4,7,14,0,66,,,,3,223,5,30,32,"Sunday Nov 5, 1967",,21,,,0,0,2,153,26,10,2,173,4,37,37,2,171,,,,3,324,2,20,20,ATL,Atlanta Falcons,Cotton Bowl,,Home,DAL,Dallas Cowboys
196711050clt,,15,,,0,0,1,139,25,16,1,183,5,10,25,0,126,,,,6,265,1,72,44,"Sunday Nov 5, 1967",,17,,,2,1,1,103,33,15,2,126,1,13,35,0,134,,,,3,237,2,8,23,GNB,Green Bay Packers,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196711050was,,22,,,0,0,2,236,33,16,1,252,7,27,47,2,178,,,,2,414,2,78,16,"Sunday Nov 5, 1967",,9,,,2,2,1,117,18,6,1,135,7,21,21,1,102,,,,2,219,3,42,18,WAS,Washington Redskins,District of Columbia Stadium,,Away,CRD,St. Louis Cardinals
196711050sfo,,9,,,2,0,0,47,14,8,1,99,5,17,33,1,105,,,,6,152,0,45,52,"Sunday Nov 5, 1967",,14,,,1,1,2,158,34,17,1,175,8,7,27,0,99,,,,4,257,3,60,17,SFO,San Francisco 49ers,Kezar Stadium,,Away,RAM,Los Angeles Rams
196711050pit,,21,,,1,1,0,132,26,14,2,177,3,34,40,1,181,,,,4,313,1,35,45,"Sunday Nov 5, 1967",,14,,,4,1,2,229,30,14,2,254,4,14,28,0,72,,,,3,301,3,36,25,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,CLE,Cleveland Browns
196711120min,,17,,,10,5,1,89,19,10,1,96,3,10,43,0,277,,,,1,366,6,39,7,"Sunday Nov 12, 1967",,7,,,1,1,0,40,15,6,0,68,6,10,30,0,137,,,,3,177,1,65,28,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,DET,Detroit Lions
196711120gnb,,11,,,4,3,4,66,22,7,0,97,5,7,21,1,162,,,,3,228,7,37,31,"Sunday Nov 12, 1967",,28,,,1,0,1,221,24,15,2,266,4,55,45,3,235,,,,4,456,1,58,45,CLE,Cleveland Browns,Milwaukee County Stadium,,Home,GNB,Green Bay Packers
196711120crd,,21,,,1,0,1,192,32,17,1,233,7,14,35,1,82,,,,4,274,1,54,41,"Sunday Nov 12, 1967",,19,,,1,0,3,145,29,15,1,193,4,14,28,1,113,,,,5,258,3,19,48,CRD,St. Louis Cardinals,Civic Center Busch Memorial Stadium,,Away,PIT,Pittsburgh Steelers
196711120chi,,14,,,1,1,3,78,26,9,0,103,7,7,30,1,83,,,,4,161,4,55,25,"Sunday Nov 12, 1967",,16,,,2,1,0,117,24,13,3,117,8,34,34,2,147,,,,0,264,1,80,0,NYG,New York Giants,Wrigley Field,,Home,CHI,Chicago Bears
196711120atl,,30,,,1,1,1,426,32,22,4,426,6,49,41,3,169,,,,0,595,2,50,0,"Sunday Nov 12, 1967",,9,,,1,1,2,62,16,6,1,98,5,7,29,0,115,,,,6,177,3,65,36,ATL,Atlanta Falcons,Atlanta Stadium,,Away,CLT,Baltimore Colts
196711120was,,24,,,2,2,1,170,38,20,1,174,10,28,34,3,124,,,,1,294,3,95,4,"Sunday Nov 12, 1967",,30,,,2,2,1,288,42,23,3,292,4,31,27,1,132,,,,1,420,3,53,4,SFO,San Francisco 49ers,District of Columbia Stadium,,Home,WAS,Washington Redskins
196711120ram,,11,,,2,2,3,215,35,19,0,229,7,17,16,1,42,,,,2,257,5,72,14,"Sunday Nov 12, 1967",,23,,,5,2,2,233,37,15,2,233,4,33,42,0,161,,,,0,394,4,31,0,PHI,Philadelphia Eagles,Los Angeles Memorial Coliseum,,Home,RAM,Los Angeles Rams
196711120nor,,18,,,2,1,1,178,21,9,0,186,6,27,40,3,202,,,,2,380,2,70,8,"Sunday Nov 12, 1967",,14,,,1,1,2,168,37,18,1,202,8,10,18,0,43,,,,5,211,3,80,34,NOR,New Orleans Saints,Tulane Stadium,,Away,DAL,Dallas Cowboys
196711190dal,,16,,,1,1,1,265,33,23,4,265,4,27,25,0,49,,,,0,314,2,35,0,"Sunday Nov 19, 1967",,27,,,2,1,4,342,45,26,3,396,6,20,28,0,104,,,,8,446,5,51,54,DAL,Dallas Cowboys,Cotton Bowl,,Away,WAS,Washington Redskins
196711190clt,,16,,,0,0,3,91,23,9,0,97,9,7,33,1,170,,,,1,261,3,128,6,"Sunday Nov 19, 1967",,29,,,1,0,1,161,24,13,2,178,2,41,43,3,190,,,,2,351,1,20,17,DET,Detroit Lions,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196711190cle,,12,,,2,2,1,105,25,11,0,110,3,10,32,1,99,,,,1,204,3,64,5,"Sunday Nov 19, 1967",,18,,,3,2,0,25,21,11,0,93,10,14,41,2,210,,,,8,235,2,116,68,MIN,Minnesota Vikings,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196711190chi,,15,,,2,2,7,154,42,14,0,164,6,3,20,0,76,,,,1,230,9,83,10,"Sunday Nov 19, 1967",,13,,,1,1,2,320,25,11,3,336,12,30,30,1,141,,,,2,461,3,132,16,CRD,St. Louis Cardinals,Wrigley Field,,Home,CHI,Chicago Bears
196711190atl,,15,,,1,0,2,284,28,17,3,284,11,31,29,1,121,,,,0,405,2,135,0,"Sunday Nov 19, 1967",,13,,,2,1,4,140,28,12,0,157,10,3,33,0,98,,,,3,238,5,118,17,ATL,Atlanta Falcons,Atlanta Stadium,,Away,RAM,Los Angeles Rams
196711190phi,,15,,,4,3,2,237,33,16,3,262,2,21,22,0,72,,,,4,309,5,47,25,"Sunday Nov 19, 1967",,21,,,2,1,2,331,34,21,5,342,4,48,26,1,90,,,,2,421,3,40,11,NOR,New Orleans Saints,Franklin Field,,Home,PHI,Philadelphia Eagles
196711190nyg,,18,,,4,2,1,210,42,16,2,240,6,20,21,0,71,,,,3,281,3,80,30,"Sunday Nov 19, 1967",,18,,,2,1,3,171,26,16,2,188,6,28,32,2,67,,,,2,238,4,103,17,PIT,Pittsburgh Steelers,Yankee Stadium,,Home,NYG,New York Giants
196711190gnb,,16,,,1,0,2,168,49,20,0,170,1,0,26,0,140,,,,1,308,2,15,2,"Sunday Nov 19, 1967",,13,,,0,0,1,129,26,13,0,157,1,13,36,1,168,,,,2,297,1,5,28,SFO,San Francisco 49ers,Lambeau Field,,Home,GNB,Green Bay Packers
196711230det,,15,,,0,0,1,171,21,9,2,171,6,31,36,2,92,,,,0,263,1,48,0,"Thursday Nov 23, 1967",,10,,,4,2,2,38,25,10,0,54,3,7,35,1,70,,,,1,108,4,28,16,DET,Detroit Lions,Tiger Stadium,,Away,RAM,Los Angeles Rams
196711230dal,,15,,,2,1,3,222,27,13,3,272,1,21,34,0,95,,,,5,317,4,15,50,"Thursday Nov 23, 1967",,18,,,0,0,1,300,24,13,4,311,6,46,36,1,136,,,,2,436,1,41,11,CRD,St. Louis Cardinals,Cotton Bowl,,Home,DAL,Dallas Cowboys
196711260nor,,21,,,1,1,0,86,20,9,2,112,8,24,37,1,183,,,,2,269,1,88,26,"Sunday Nov 26, 1967",,24,,,3,3,0,230,36,18,2,230,6,27,31,1,141,,,,0,371,3,64,0,ATL,Atlanta Falcons,Tulane Stadium,,Home,NOR,New Orleans Saints
196711260cle,,33,,,2,0,1,373,50,32,3,418,6,37,29,2,108,,,,5,481,1,49,45,"Sunday Nov 26, 1967",,19,,,2,1,0,221,17,11,1,233,10,42,34,3,203,,,,2,424,1,148,12,WAS,Washington Redskins,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196711260chi,,15,,,2,0,0,174,17,11,1,202,3,17,29,1,71,,,,2,245,0,35,28,"Sunday Nov 26, 1967",,14,,,1,1,2,56,14,7,0,56,7,13,38,1,193,,,,0,249,3,45,0,CHI,Chicago Bears,Wrigley Field,,Away,GNB,Green Bay Packers
196711260sfo,,17,,,1,1,1,174,28,16,0,211,8,26,36,1,169,,,,3,343,2,80,37,"Sunday Nov 26, 1967",,8,,,1,1,3,84,25,11,0,97,7,9,21,0,81,,,,1,165,4,65,13,SFO,San Francisco 49ers,Kezar Stadium,,Away,CLT,Baltimore Colts
