,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
197609120nwe,,20,,,1,1,0,150,23,17,2,190,6,27,38,1,122,,,,2,272,1,45,40,"Sunday Sep 12, 1976",,17,,,1,1,4,168,22,12,0,179,6,13,37,1,149,,,,2,317,5,55,11,NWE,New England Patriots,Schaefer Stadium,1:00pm,Away,CLT,Baltimore Colts
197609120cle,,17,,,0,0,2,147,36,19,0,162,5,17,28,2,111,,,,2,258,2,40,15,"Sunday Sep 12, 1976",,21,,,3,1,0,183,25,18,5,183,5,38,42,0,207,,,,0,390,1,73,0,NYJ,New York Jets,Cleveland Municipal Stadium,1:00pm,Home,CLE,Cleveland Browns
197609120was,,14,,,1,0,4,221,26,13,2,228,6,17,40,0,96,,,,2,317,4,55,7,"Sunday Sep 12, 1976",,17,,,3,2,1,233,36,17,2,257,13,19,31,0,89,,,,3,322,3,120,24,NYG,New York Giants,Robert F. Kennedy Memorial Stadium,1:00pm,Home,WAS,Washington Redskins
197609120atl,,17,,,3,3,1,137,16,8,2,137,7,30,51,1,232,,,,0,369,4,59,0,"Sunday Sep 12, 1976",,12,,,3,1,3,148,33,16,1,193,7,14,22,1,62,,,,5,210,4,70,45,ATL,Atlanta Falcons,Atlanta-Fulton County Stadium,1:00pm,Away,RAM,Los Angeles Rams
197609120nor,,28,,,1,1,0,276,36,22,1,311,5,40,47,4,173,,,,5,449,1,36,35,"Sunday Sep 12, 1976",,9,,,4,3,0,82,26,10,0,109,3,9,16,1,50,,,,4,132,3,36,27,NOR,New Orleans Saints,Louisiana Superdome,2:00pm,Away,MIN,Minnesota Vikings
197609120kan,,27,,,2,0,0,200,30,17,2,205,6,30,47,2,267,,,,2,467,0,35,5,"Sunday Sep 12, 1976",,19,,,1,1,3,217,34,20,2,236,4,16,26,0,113,,,,2,330,4,43,19,KAN,Kansas City Chiefs,Arrowhead Stadium,2:00pm,Away,SDG,San Diego Chargers
197609120gnb,,17,,,0,0,1,104,12,8,2,120,10,26,45,2,210,,,,2,314,1,92,16,"Sunday Sep 12, 1976",,17,,,5,3,0,102,36,14,0,149,4,14,36,1,125,,,,4,227,3,59,47,GNB,Green Bay Packers,Lambeau Field,2:00pm,Away,SFO,San Francisco 49ers
197609120dal,,18,,,4,3,2,144,32,14,1,152,6,7,30,0,136,,,,1,280,5,30,8,"Sunday Sep 12, 1976",,24,,,3,2,1,265,35,24,2,267,6,27,40,1,180,,,,1,445,3,39,2,PHI,Philadelphia Eagles,Texas Stadium,2:00pm,Home,DAL,Dallas Cowboys
197609120cin,,12,,,1,0,2,46,22,7,0,97,3,7,34,1,115,,,,6,161,2,51,51,"Sunday Sep 12, 1976",,14,,,1,0,1,135,25,17,2,147,2,17,33,0,118,,,,3,253,1,10,12,DEN,Denver Broncos,Riverfront Stadium,2:00pm,Home,CIN,Cincinnati Bengals
197609120chi,,15,,,3,3,0,134,35,15,0,166,7,3,27,0,109,,,,6,243,3,43,32,"Sunday Sep 12, 1976",,12,,,0,0,0,126,17,8,0,143,8,10,43,1,114,,,,2,240,0,65,17,DET,Detroit Lions,Soldier Field,2:00pm,Home,CHI,Chicago Bears
