,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
197509210nwe,,7,,,2,1,1,53,16,6,0,53,7,7,33,0,116,,,,0,169,2,37,0,"Sunday Sep 21, 1975",,17,,,2,2,1,100,24,12,0,116,4,0,52,0,179,,,,2,279,3,28,16,NWE,New England Patriots,Schaefer Stadium,1:00pm,Away,OTI,Houston Oilers
197509210cin,,17,,,6,1,0,125,22,14,0,156,2,17,32,1,105,,,,3,230,1,23,31,"Sunday Sep 21, 1975",,24,,,2,2,0,252,27,17,1,287,3,24,40,2,127,,,,3,379,2,20,35,CLE,Cleveland Browns,Riverfront Stadium,1:00pm,Home,CIN,Cincinnati Bengals
197509210was,,9,,,1,1,2,137,35,18,0,153,3,3,21,0,71,,,,2,208,3,27,16,"Sunday Sep 21, 1975",,19,,,0,0,1,179,26,14,4,199,0,41,35,0,136,,,,5,315,1,0,20,NOR,New Orleans Saints,Robert F. Kennedy Memorial Stadium,1:00pm,Home,WAS,Washington Redskins
197509210buf,,17,,,1,1,4,150,36,14,2,173,7,14,21,0,111,,,,2,261,5,58,23,"Sunday Sep 21, 1975",,26,,,0,0,0,52,13,7,2,67,9,42,64,3,309,,,,2,361,0,89,15,NYJ,New York Jets,Rich Stadium,1:00pm,Home,BUF,Buffalo Bills
197509210phi,,15,,,1,0,1,240,28,14,1,240,3,23,40,2,96,,,,0,336,1,13,0,"Sunday Sep 21, 1975",,24,,,2,1,2,264,44,28,2,278,5,14,32,0,99,,,,3,363,3,35,14,PHI,Philadelphia Eagles,Veterans Stadium,1:00pm,Away,NYG,New York Giants
197509210min,,16,,,4,3,0,145,27,14,1,173,9,17,28,0,100,,,,4,245,3,60,28,"Sunday Sep 21, 1975",,17,,,0,0,2,153,26,14,1,165,6,27,38,1,126,,,,2,279,2,40,12,SFO,San Francisco 49ers,Metropolitan Stadium,2:00pm,Home,MIN,Minnesota Vikings
197509210gnb,,10,,,3,2,0,113,12,8,0,143,4,30,40,1,117,,,,4,230,2,26,30,"Sunday Sep 21, 1975",,15,,,1,1,2,124,33,13,0,167,6,16,31,2,93,,,,6,217,3,40,43,GNB,Green Bay Packers,Milwaukee County Stadium,2:00pm,Away,DET,Detroit Lions
197509210crd,,19,,,2,1,1,58,16,8,0,81,6,20,51,3,236,,,,3,294,2,40,23,"Sunday Sep 21, 1975",,18,,,1,1,2,150,23,12,1,150,1,23,36,1,167,,,,0,317,3,8,0,ATL,Atlanta Falcons,Civic Center Busch Memorial Stadium,2:00pm,Home,CRD,St. Louis Cardinals
197509210chi,,26,,,0,0,0,136,24,15,2,177,7,35,49,3,168,,,,4,304,0,70,41,"Sunday Sep 21, 1975",,6,,,0,0,2,74,20,8,0,87,4,7,18,1,47,,,,2,121,2,49,13,CHI,Chicago Bears,Soldier Field,2:00pm,Away,CLT,Baltimore Colts
197509210den,,18,,,2,2,0,166,27,13,2,221,5,33,40,1,146,,,,5,312,2,57,55,"Sunday Sep 21, 1975",,15,,,3,2,2,298,20,12,3,329,9,37,31,1,127,,,,4,425,4,89,31,KAN,Kansas City Chiefs,Mile High Stadium,4:00pm,Home,DEN,Denver Broncos
197509210dal,,11,,,5,1,3,20,17,4,0,41,4,7,33,1,128,,,,3,148,4,40,21,"Sunday Sep 21, 1975",,18,,,1,1,0,80,24,10,0,106,8,18,49,1,197,,,,4,277,1,64,26,RAM,Los Angeles Rams,Texas Stadium,4:00pm,Home,DAL,Dallas Cowboys
