,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
196609100gnb,,11,,,0,0,3,101,21,14,0,106,0,3,32,0,112,,,,1,213,3,0,5,"Saturday Sep 10, 1966",,17,,,0,0,1,137,19,14,0,138,1,24,35,1,155,,,,1,292,1,5,1,CLT,Baltimore Colts,Milwaukee County Stadium,,Home,GNB,Green Bay Packers
196609110sfo,,20,,,5,0,1,72,28,10,0,105,6,20,40,2,226,,,,5,298,1,77,33,"Sunday Sep 11, 1966",,18,,,1,0,1,203,39,22,2,216,4,20,30,0,104,,,,2,307,1,40,13,SFO,San Francisco 49ers,Kezar Stadium,,Away,MIN,Minnesota Vikings
196609110pit,,8,,,5,3,2,247,18,10,3,273,5,34,20,0,32,,,,3,279,5,35,26,"Sunday Sep 11, 1966",,25,,,4,3,0,266,28,17,3,290,3,34,38,1,138,,,,3,404,3,31,24,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,NYG,New York Giants
196609110det,,17,,,2,1,2,109,27,15,0,120,2,3,36,0,147,,,,1,256,3,10,11,"Sunday Sep 11, 1966",,14,,,2,2,1,85,15,7,1,92,5,14,36,1,123,,,,1,208,3,29,7,CHI,Chicago Bears,Tiger Stadium,,Home,DET,Detroit Lions
196609110crd,,18,,,0,0,0,121,25,9,0,129,5,13,31,1,133,,,,1,254,0,56,8,"Sunday Sep 11, 1966",,20,,,2,0,1,158,26,19,0,191,6,16,30,1,120,,,,4,278,1,56,33,PHI,Philadelphia Eagles,Civic Center Busch Memorial Stadium,,Home,CRD,St. Louis Cardinals
196609110atl,,23,,,1,1,1,275,35,21,1,294,2,19,37,0,146,,,,3,421,2,20,19,"Sunday Sep 11, 1966",,10,,,1,0,2,116,25,9,1,154,7,14,19,1,121,,,,5,237,2,35,38,ATL,Atlanta Falcons,Atlanta Stadium,,Away,RAM,Los Angeles Rams
196609110was,,18,,,5,3,0,159,25,13,3,159,1,38,34,2,148,,,,0,307,3,15,0,"Sunday Sep 11, 1966",,17,,,2,1,5,212,35,17,1,240,6,14,25,1,103,,,,3,315,6,52,28,WAS,Washington Redskins,District of Columbia Stadium,,Away,CLE,Cleveland Browns
196609160ram,,12,,,3,2,1,118,35,11,0,118,10,17,30,2,121,,,,0,239,3,61,0,"Friday Sep 16, 1966",,17,,,7,4,0,195,21,14,1,215,6,31,32,2,99,,,,3,294,4,53,20,CHI,Chicago Bears,Los Angeles Memorial Coliseum,,Home,RAM,Los Angeles Rams
196609180min,,14,,,1,0,2,237,22,14,4,241,4,38,27,0,109,,,,1,346,2,32,4,"Sunday Sep 18, 1966",,18,,,3,2,1,157,28,16,0,200,5,23,39,2,180,,,,4,337,3,35,43,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,CLT,Baltimore Colts
196609180dal,,18,,,1,0,4,120,37,13,1,155,3,7,22,0,137,,,,5,257,4,26,35,"Sunday Sep 18, 1966",,24,,,0,0,1,374,33,16,5,381,10,52,34,1,144,,,,1,518,1,93,7,NYG,New York Giants,Cotton Bowl,,Home,DAL,Dallas Cowboys
