,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
196609180crd,,14,,,3,3,0,190,32,18,1,197,6,7,20,0,27,,,,1,217,3,55,7,"Sunday Sep 18, 1966",,21,,,1,1,1,237,34,19,1,258,3,23,32,1,145,,,,3,382,2,42,21,WAS,Washington Redskins,Civic Center Busch Memorial Stadium,,Home,CRD,St. Louis Cardinals
196609180cle,,22,,,2,2,0,238,30,20,2,238,4,21,38,1,118,,,,0,356,2,31,0,"Sunday Sep 18, 1966",,16,,,1,1,0,156,24,15,2,184,6,20,22,0,110,,,,4,266,1,50,28,CLE,Cleveland Browns,Cleveland Municipal Stadium,,Away,GNB,Green Bay Packers
196609180pit,,9,,,2,1,3,89,24,11,0,114,6,3,21,0,69,,,,3,158,4,70,25,"Sunday Sep 18, 1966",,15,,,0,0,1,143,23,13,2,194,3,17,33,0,113,,,,5,256,1,35,51,DET,Detroit Lions,Pitt Stadium,,Home,PIT,Pittsburgh Steelers
196609180phi,,16,,,0,0,3,202,31,14,1,218,5,10,26,0,96,,,,2,298,3,56,16,"Sunday Sep 18, 1966",,20,,,3,1,1,135,20,11,0,135,3,23,43,2,205,,,,0,340,2,19,0,ATL,Atlanta Falcons,Franklin Field,,Home,PHI,Philadelphia Eagles
196609250gnb,,12,,,1,1,1,67,28,14,0,124,3,13,31,1,106,,,,8,173,2,21,57,"Sunday Sep 25, 1966",,14,,,5,5,0,233,21,13,2,262,4,24,33,1,94,,,,4,327,5,40,29,RAM,Los Angeles Rams,Lambeau Field,,Home,GNB,Green Bay Packers
196609250det,,13,,,5,3,0,104,24,9,0,116,7,10,33,1,155,,,,1,259,3,44,12,"Sunday Sep 25, 1966",,18,,,2,1,2,208,27,19,2,230,8,28,30,2,136,,,,2,344,3,88,22,ATL,Atlanta Falcons,Tiger Stadium,,Home,DET,Detroit Lions
196609250dal,,25,,,0,0,1,247,42,19,2,257,3,17,34,0,142,,,,3,389,1,35,10,"Sunday Sep 25, 1966",,18,,,1,0,0,166,23,9,2,182,6,28,33,2,148,,,,3,314,0,50,16,MIN,Minnesota Vikings,Cotton Bowl,,Home,DAL,Dallas Cowboys
196609250clt,,14,,,1,0,1,155,32,18,2,193,9,14,22,0,95,,,,5,250,1,85,38,"Sunday Sep 25, 1966",,23,,,1,1,1,211,31,14,2,225,5,36,33,1,168,,,,2,379,2,57,14,SFO,San Francisco 49ers,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196609250cle,,13,,,3,3,2,206,20,11,3,218,6,34,28,1,107,,,,1,313,5,32,12,"Sunday Sep 25, 1966",,25,,,1,0,1,230,41,21,1,279,5,28,32,3,143,,,,6,373,1,61,49,CLE,Cleveland Browns,Cleveland Municipal Stadium,,Away,CRD,St. Louis Cardinals
196609250pit,,17,,,1,0,2,228,33,20,2,235,10,33,30,1,92,,,,1,320,2,75,7,"Sunday Sep 25, 1966",,15,,,4,3,3,206,24,12,2,276,6,27,25,0,72,,,,8,278,6,70,70,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,WAS,Washington Redskins
196609250phi,,19,,,2,0,1,236,36,20,2,236,4,17,28,0,150,,,,0,386,1,62,0,"Sunday Sep 25, 1966",,18,,,1,0,0,161,19,10,3,179,4,35,36,2,110,,,,2,271,0,30,18,NYG,New York Giants,Franklin Field,,Home,PHI,Philadelphia Eagles
196609300ram,,15,,,2,1,4,198,41,16,0,225,4,3,19,0,53,,,,5,251,5,35,27,"Friday Sep 30, 1966",,20,,,0,0,1,193,34,15,1,197,7,34,34,3,163,,,,1,356,1,86,4,SFO,San Francisco 49ers,Los Angeles Memorial Coliseum,,Home,RAM,Los Angeles Rams
196610020nyg,,23,,,0,0,1,160,24,14,2,171,2,28,46,2,258,,,,2,418,1,30,11,"Sunday Oct 2, 1966",,12,,,2,2,4,224,29,13,1,252,2,7,18,0,50,,,,3,274,6,30,28,NYG,New York Giants,Yankee Stadium,,Away,CLE,Cleveland Browns
196610020min,,11,,,3,1,1,179,25,13,1,179,3,13,30,0,104,,,,0,283,2,25,0,"Sunday Oct 2, 1966",,16,,,3,2,1,169,29,15,1,205,2,10,37,0,115,,,,3,284,3,14,36,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,CHI,Chicago Bears
196610020gnb,,17,,,3,3,2,175,24,15,0,193,9,14,37,2,174,,,,2,349,5,123,18,"Sunday Oct 2, 1966",,10,,,0,0,0,185,19,11,2,212,2,23,29,0,66,,,,5,251,0,12,27,DET,Detroit Lions,Lambeau Field,,Home,GNB,Green Bay Packers
196610020atl,,22,,,2,2,0,220,26,16,3,251,7,47,28,2,143,,,,3,363,2,95,31,"Sunday Oct 2, 1966",,20,,,4,3,2,170,27,16,0,201,3,14,30,2,106,,,,4,276,5,43,31,ATL,Atlanta Falcons,Atlanta Stadium,,Away,DAL,Dallas Cowboys
196610020was,,16,,,1,1,3,180,42,16,0,204,8,10,25,1,69,,,,3,249,4,73,24,"Sunday Oct 2, 1966",,11,,,1,0,0,249,22,14,3,262,4,24,32,0,84,,,,2,333,0,50,13,PIT,Pittsburgh Steelers,District of Columbia Stadium,,Home,WAS,Washington Redskins
196610020phi,,8,,,1,1,0,63,17,8,2,95,4,41,28,0,84,,,,4,147,1,45,32,"Sunday Oct 2, 1966",,17,,,1,0,5,168,45,16,0,247,7,10,19,1,62,,,,9,230,5,65,79,PHI,Philadelphia Eagles,Franklin Field,,Away,CRD,St. Louis Cardinals
196610080cle,,12,,,2,1,5,182,38,18,1,196,6,10,16,0,22,,,,2,204,6,64,14,"Saturday Oct 8, 1966",,31,,,3,2,0,226,28,19,3,239,7,41,43,2,241,,,,1,467,2,66,13,PIT,Pittsburgh Steelers,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196610090det,,21,,,2,1,2,203,34,21,1,212,5,14,35,1,166,,,,1,369,3,53,9,"Sunday Oct 9, 1966",,14,,,2,2,4,194,31,15,0,210,7,7,30,1,89,,,,1,283,6,76,16,DET,Detroit Lions,Tiger Stadium,,Away,RAM,Los Angeles Rams
196610090dal,,11,,,0,0,1,179,40,19,1,187,5,7,18,0,38,,,,1,217,1,83,8,"Sunday Oct 9, 1966",,32,,,0,0,0,440,38,25,5,447,7,56,32,3,212,,,,1,652,0,104,7,PHI,Philadelphia Eagles,Cotton Bowl,,Home,DAL,Dallas Cowboys
196610090crd,,20,,,0,0,2,145,35,19,1,162,7,19,37,0,126,,,,2,271,2,77,17,"Sunday Oct 9, 1966",,15,,,0,0,2,177,18,9,2,179,6,24,26,1,91,,,,1,268,2,50,2,NYG,New York Giants,Civic Center Busch Memorial Stadium,,Home,CRD,St. Louis Cardinals
196610090chi,,19,,,2,2,2,256,38,18,1,274,6,17,23,0,108,,,,3,364,4,53,18,"Sunday Oct 9, 1966",,19,,,0,0,1,96,15,8,0,96,7,27,52,2,219,,,,0,315,1,58,0,CLT,Baltimore Colts,Wrigley Field,,Home,CHI,Chicago Bears
196610090was,,19,,,1,0,2,146,27,14,0,183,6,20,27,2,122,,,,4,268,2,61,37,"Sunday Oct 9, 1966",,26,,,0,0,0,286,26,17,2,286,4,33,36,2,146,,,,0,432,0,23,0,ATL,Atlanta Falcons,District of Columbia Stadium,,Home,WAS,Washington Redskins
196610090sfo,,17,,,1,1,1,262,26,18,2,287,5,20,34,0,106,,,,2,368,2,61,25,"Sunday Oct 9, 1966",,17,,,2,0,1,94,25,12,2,121,4,21,30,0,154,,,,3,248,1,50,27,GNB,Green Bay Packers,Kezar Stadium,,Home,SFO,San Francisco 49ers
196610160min,,13,,,0,0,3,146,33,16,0,189,5,7,23,1,84,,,,6,230,3,28,43,"Sunday Oct 16, 1966",,20,,,2,0,1,313,32,22,3,336,8,35,37,2,65,,,,3,378,1,87,23,RAM,Los Angeles Rams,Metropolitan Stadium,,Home,MIN,Minnesota Vikings
196610160crd,,17,,,2,1,3,191,34,15,0,203,7,10,33,1,135,,,,2,326,4,72,12,"Sunday Oct 16, 1966",,13,,,0,0,0,130,30,15,1,158,3,10,27,0,45,,,,2,175,0,21,28,CRD,St. Louis Cardinals,Civic Center Busch Memorial Stadium,,Away,DAL,Dallas Cowboys
196610160clt,,17,,,2,2,2,215,39,20,2,250,4,14,28,0,78,,,,4,293,4,42,35,"Sunday Oct 16, 1966",,21,,,2,2,0,283,32,22,5,283,4,45,33,1,137,,,,0,420,2,43,0,DET,Detroit Lions,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196610160chi,,12,,,2,1,1,59,19,8,0,80,3,17,35,1,121,,,,3,180,2,23,21,"Sunday Oct 16, 1966",,6,,,2,1,3,52,23,12,0,69,6,0,30,0,42,,,,2,94,4,74,17,CHI,Chicago Bears,Wrigley Field,,Away,GNB,Green Bay Packers
196610160atl,,29,,,0,0,1,328,36,21,4,328,9,44,37,1,176,,,,0,504,1,75,0,"Sunday Oct 16, 1966",,14,,,2,1,3,156,33,18,1,208,5,7,17,0,59,,,,5,215,4,35,52,ATL,Atlanta Falcons,Atlanta Stadium,,Away,SFO,San Francisco 49ers
196610160pit,,22,,,3,1,2,93,24,12,2,100,6,31,49,2,188,,,,1,281,3,70,7,"Sunday Oct 16, 1966",,14,,,4,1,2,91,28,10,1,105,3,14,26,1,87,,,,2,178,3,38,14,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,PHI,Philadelphia Eagles
196610160nyg,,9,,,3,0,2,107,23,9,1,125,3,10,25,0,81,,,,2,188,2,25,18,"Sunday Oct 16, 1966",,17,,,1,0,1,228,31,16,1,272,1,13,29,0,97,,,,5,325,1,15,44,WAS,Washington Redskins,Yankee Stadium,,Home,NYG,New York Giants
196610230nyg,,18,,,4,2,1,114,14,9,2,127,6,31,46,2,202,,,,2,316,3,58,13,"Sunday Oct 23, 1966",,13,,,2,1,4,152,33,15,0,211,7,3,19,0,76,,,,6,228,5,75,59,NYG,New York Giants,Yankee Stadium,,Away,PHI,Philadelphia Eagles
196610230gnb,,15,,,1,0,4,76,29,11,0,142,4,3,29,0,140,,,,8,216,4,48,66,"Sunday Oct 23, 1966",,19,,,0,0,0,231,19,10,2,251,6,56,28,3,126,,,,2,357,0,64,20,ATL,Atlanta Falcons,Milwaukee County Stadium,,Home,GNB,Green Bay Packers
196610230clt,,24,,,1,1,0,181,36,23,2,231,1,17,38,0,136,,,,4,317,1,37,50,"Sunday Oct 23, 1966",,20,,,3,1,1,201,29,17,1,214,5,20,27,1,146,,,,2,347,2,25,13,MIN,Minnesota Vikings,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196610230cle,,30,,,0,0,4,257,45,26,1,288,8,21,31,2,156,,,,5,413,4,66,31,"Sunday Oct 23, 1966",,17,,,0,0,0,159,24,9,2,159,8,30,31,1,105,,,,0,264,0,92,0,DAL,Dallas Cowboys,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196610230chi,,14,,,1,0,2,95,34,15,0,120,2,10,33,1,108,,,,4,203,2,20,25,"Sunday Oct 23, 1966",,15,,,1,1,1,135,21,9,1,152,5,17,39,0,152,,,,2,287,2,41,17,RAM,Los Angeles Rams,Wrigley Field,,Home,CHI,Chicago Bears
196610230was,,17,,,4,3,2,87,24,13,1,118,2,20,35,1,164,,,,2,251,5,7,31,"Sunday Oct 23, 1966",,15,,,2,0,1,235,35,20,2,246,4,26,23,0,56,,,,1,291,1,32,11,CRD,St. Louis Cardinals,District of Columbia Stadium,,Home,WAS,Washington Redskins
196610230sfo,,17,,,4,2,0,202,34,19,2,227,10,24,30,1,112,,,,3,314,2,107,25,"Sunday Oct 23, 1966",,23,,,1,0,4,188,36,18,1,221,5,27,32,2,171,,,,2,359,4,52,33,DET,Detroit Lions,Kezar Stadium,,Home,SFO,San Francisco 49ers
196610300phi,,17,,,1,1,2,159,31,18,2,171,2,27,34,1,101,,,,1,260,3,20,12,"Sunday Oct 30, 1966",,14,,,3,1,1,152,37,17,1,188,2,13,24,0,105,,,,5,257,2,29,36,PHI,Philadelphia Eagles,Franklin Field,,Away,WAS,Washington Redskins
196610300min,,10,,,1,1,2,105,26,13,0,123,2,3,22,0,49,,,,1,154,3,20,18,"Sunday Oct 30, 1966",,29,,,1,1,1,313,36,21,2,325,12,28,51,2,246,,,,1,559,2,165,12,SFO,San Francisco 49ers,Metropolitan Stadium,,Home,MIN,Minnesota Vikings
196610300det,,19,,,2,2,0,170,15,13,1,170,4,31,43,3,174,,,,0,344,2,33,0,"Sunday Oct 30, 1966",,19,,,3,2,3,233,45,21,0,271,4,7,22,1,84,,,,4,317,5,52,38,DET,Detroit Lions,Tiger Stadium,,Away,GNB,Green Bay Packers
196610300dal,,6,,,3,2,2,112,30,10,1,133,9,21,12,0,7,,,,4,119,4,98,21,"Sunday Oct 30, 1966",,24,,,2,0,3,233,33,14,4,275,9,52,43,1,192,,,,4,425,3,90,42,PIT,Pittsburgh Steelers,Cotton Bowl,,Home,DAL,Dallas Cowboys
196610300atl,,22,,,2,0,1,295,25,16,6,295,7,49,31,1,213,,,,0,508,1,71,0,"Sunday Oct 30, 1966",,23,,,3,2,1,117,25,14,1,158,7,17,36,1,204,,,,4,321,3,79,41,ATL,Atlanta Falcons,Atlanta Stadium,,Away,CLE,Cleveland Browns
196610300ram,,13,,,3,2,1,230,22,13,2,252,2,17,29,0,92,,,,3,322,3,20,22,"Sunday Oct 30, 1966",,21,,,4,3,3,225,39,23,0,271,4,3,31,0,115,,,,7,340,6,31,46,RAM,Los Angeles Rams,Los Angeles Memorial Coliseum,,Away,CLT,Baltimore Colts
196610310crd,,16,,,1,1,3,173,29,13,1,211,9,17,32,1,109,,,,4,282,4,82,38,"Monday Oct 31, 1966",,11,,,2,2,1,47,16,4,0,47,5,24,41,2,119,,,,0,166,3,54,0,CHI,Chicago Bears,Civic Center Busch Memorial Stadium,,Home,CRD,St. Louis Cardinals
196611060phi,,16,,,3,2,0,128,30,12,0,147,4,23,37,2,112,,,,3,240,2,42,19,"Sunday Nov 6, 1966",,5,,,4,3,0,22,17,5,0,55,6,24,27,0,58,,,,5,80,3,89,33,DAL,Dallas Cowboys,Franklin Field,,Home,PHI,Philadelphia Eagles
196611060nyg,,16,,,1,0,2,116,28,8,2,127,5,20,47,0,148,,,,1,264,2,35,11,"Sunday Nov 6, 1966",,11,,,2,1,1,168,33,15,1,216,7,17,17,0,42,,,,5,210,2,52,48,NYG,New York Giants,Yankee Stadium,,Away,CRD,St. Louis Cardinals
196611060gnb,,20,,,0,0,0,164,26,16,0,172,2,20,46,2,126,,,,1,290,0,19,8,"Sunday Nov 6, 1966",,18,,,2,1,0,134,18,11,0,140,2,17,35,2,158,,,,1,292,1,20,6,GNB,Green Bay Packers,Lambeau Field,,Away,MIN,Minnesota Vikings
196611060clt,,14,,,2,2,2,196,32,21,1,220,5,10,17,0,76,,,,3,272,4,48,24,"Sunday Nov 6, 1966",,28,,,0,0,2,394,36,25,4,394,6,37,37,0,126,,,,0,520,2,61,0,WAS,Washington Redskins,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196611060chi,,17,,,0,0,1,167,34,17,0,195,5,10,32,1,88,,,,2,255,1,35,28,"Sunday Nov 6, 1966",,15,,,0,0,0,106,16,9,0,123,4,10,35,1,176,,,,3,282,0,39,17,CHI,Chicago Bears,Wrigley Field,,Away,DET,Detroit Lions
196611060sfo,,11,,,0,0,1,116,26,11,1,137,7,13,16,0,26,,,,3,142,1,43,21,"Sunday Nov 6, 1966",,21,,,2,0,2,277,31,21,1,277,6,21,33,2,81,,,,0,358,2,53,0,RAM,Los Angeles Rams,Kezar Stadium,,Home,SFO,San Francisco 49ers
196611060pit,,19,,,2,1,5,176,37,19,1,228,5,6,29,0,131,,,,5,307,6,64,52,"Sunday Nov 6, 1966",,12,,,0,0,0,132,19,11,1,151,5,16,32,0,135,,,,2,267,0,65,19,CLE,Cleveland Browns,Pitt Stadium,,Home,PIT,Pittsburgh Steelers
196611130pit,,14,,,1,1,3,195,47,16,0,232,5,9,29,0,56,,,,3,251,4,55,37,"Sunday Nov 13, 1966",,6,,,2,2,1,102,24,9,2,148,5,30,28,0,48,,,,6,150,3,35,46,CRD,St. Louis Cardinals,Pitt Stadium,,Home,PIT,Pittsburgh Steelers
196611130min,,16,,,3,2,2,218,42,24,0,226,5,32,22,1,50,,,,1,268,4,60,8,"Sunday Nov 13, 1966",,15,,,2,0,5,83,24,11,0,106,5,31,37,3,149,,,,2,232,5,45,23,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,DET,Detroit Lions
196611130cle,,17,,,2,2,2,175,31,18,0,192,3,7,26,1,115,,,,3,290,4,44,17,"Sunday Nov 13, 1966",,17,,,0,0,0,176,32,15,2,194,3,27,30,1,169,,,,2,345,0,25,18,PHI,Philadelphia Eagles,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196611130chi,,28,,,3,2,1,311,54,28,0,327,11,30,31,3,112,,,,2,423,3,124,16,"Sunday Nov 13, 1966",,12,,,1,0,1,120,22,8,2,154,9,30,26,1,100,,,,4,220,1,77,34,CHI,Chicago Bears,Wrigley Field,,Away,SFO,San Francisco 49ers
196611130atl,,13,,,2,1,2,105,25,10,0,121,3,19,29,1,95,,,,3,200,3,25,16,"Sunday Nov 13, 1966",,17,,,3,2,5,152,28,14,1,171,2,7,40,0,89,,,,2,241,7,37,19,ATL,Atlanta Falcons,Atlanta Stadium,,Away,CLT,Baltimore Colts
196611130was,,24,,,5,2,1,383,30,21,2,406,5,31,34,2,132,,,,4,515,3,25,23,"Sunday Nov 13, 1966",,19,,,1,0,0,318,46,26,3,347,3,30,16,0,23,,,,3,341,0,43,29,WAS,Washington Redskins,District of Columbia Stadium,,Away,DAL,Dallas Cowboys
196611130ram,,15,,,2,0,3,56,26,9,1,127,6,14,16,0,47,,,,7,103,3,56,71,"Sunday Nov 13, 1966",,38,,,1,0,1,349,40,28,4,351,10,55,43,2,223,,,,1,572,1,76,2,NYG,New York Giants,Los Angeles Memorial Coliseum,,Home,RAM,Los Angeles Rams
196611200pit,,16,,,3,0,1,134,29,11,1,167,4,20,32,1,124,,,,5,258,1,27,33,"Sunday Nov 20, 1966",,16,,,3,1,2,110,29,14,1,187,4,7,26,0,53,,,,12,163,3,59,77,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,DAL,Dallas Cowboys
196611200nyg,,19,,,1,0,1,167,26,15,3,177,6,27,38,1,122,,,,1,289,1,50,10,"Sunday Nov 20, 1966",,21,,,2,2,2,152,33,19,1,197,2,16,27,1,151,,,,7,303,4,10,45,NYG,New York Giants,Yankee Stadium,,Away,ATL,Atlanta Falcons
196611200gnb,,9,,,3,1,3,85,22,9,0,98,8,6,26,1,75,,,,2,160,4,93,13,"Sunday Nov 20, 1966",,15,,,1,1,1,227,31,17,2,240,10,13,33,0,69,,,,1,296,2,85,13,CHI,Chicago Bears,Lambeau Field,,Home,GNB,Green Bay Packers
196611200det,,16,,,1,1,5,208,37,21,1,271,8,14,25,1,81,,,,6,289,6,88,63,"Sunday Nov 20, 1966",,16,,,2,2,2,127,32,16,1,152,7,20,34,1,154,,,,3,281,4,93,25,CLT,Baltimore Colts,Tiger Stadium,,Home,DET,Detroit Lions
196611200cle,,20,,,2,2,2,159,38,27,0,178,2,3,35,0,168,,,,3,327,4,10,19,"Sunday Nov 20, 1966",,10,,,2,2,0,112,17,9,1,112,3,14,24,1,159,,,,0,271,2,31,0,WAS,Washington Redskins,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196611200sfo,,15,,,2,2,3,169,30,15,3,174,4,35,31,1,120,,,,1,289,5,30,5,"Sunday Nov 20, 1966",,24,,,5,3,2,238,40,22,2,245,4,34,34,2,166,,,,1,404,5,48,7,SFO,San Francisco 49ers,Kezar Stadium,,Away,PHI,Philadelphia Eagles
196611200ram,,10,,,6,3,1,43,20,7,0,92,6,6,37,0,143,,,,6,186,4,61,49,"Sunday Nov 20, 1966",,15,,,3,1,0,130,37,15,0,132,4,21,34,0,98,,,,1,228,1,59,2,MIN,Minnesota Vikings,Los Angeles Memorial Coliseum,,Home,RAM,Los Angeles Rams
196611240det,,22,,,1,0,3,273,28,15,2,273,4,41,40,2,214,,,,0,487,3,27,0,"Thursday Nov 24, 1966",,10,,,3,1,1,149,31,14,0,175,4,14,18,1,47,,,,3,196,2,40,26,DET,Detroit Lions,Tiger Stadium,,Away,SFO,San Francisco 49ers
196611240dal,,18,,,1,1,0,164,26,12,1,190,3,14,26,1,157,,,,5,321,1,69,26,"Thursday Nov 24, 1966",,25,,,0,0,0,131,24,16,1,131,3,26,42,1,173,,,,0,304,0,42,0,CLE,Cleveland Browns,Cotton Bowl,,Home,DAL,Dallas Cowboys
196611270crd,,8,,,3,0,2,46,25,10,0,112,5,3,20,0,32,,,,9,78,2,40,66,"Sunday Nov 27, 1966",,15,,,4,1,0,29,17,4,0,63,5,6,47,0,199,,,,4,228,1,55,34,PIT,Pittsburgh Steelers,Civic Center Busch Memorial Stadium,,Home,CRD,St. Louis Cardinals
196611270clt,,17,,,2,0,1,148,23,13,1,175,8,23,42,0,162,,,,3,310,1,85,27,"Sunday Nov 27, 1966",,7,,,0,0,2,107,32,9,1,164,6,7,18,0,33,,,,6,140,2,70,57,CLT,Baltimore Colts,Memorial Stadium (Baltimore),,Away,RAM,Los Angeles Rams
196611270chi,,6,,,3,3,0,101,19,7,1,114,3,6,22,0,66,,,,1,167,3,15,13,"Sunday Nov 27, 1966",,23,,,4,2,2,177,23,16,2,215,3,23,47,0,299,,,,4,476,4,15,38,ATL,Atlanta Falcons,Wrigley Field,,Home,CHI,Chicago Bears
196611270was,,25,,,2,1,5,278,33,20,3,311,8,41,36,3,111,,,,4,389,6,119,33,"Sunday Nov 27, 1966",,16,,,2,1,1,132,18,10,3,145,8,72,24,4,209,,,,2,341,2,107,13,NYG,New York Giants,District of Columbia Stadium,,Home,WAS,Washington Redskins
196611270min,,20,,,1,1,0,140,31,20,2,149,7,28,31,2,164,,,,1,304,1,72,9,"Sunday Nov 27, 1966",,18,,,2,1,1,194,27,15,1,229,6,16,40,0,128,,,,4,322,2,68,35,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,GNB,Green Bay Packers
196612040min,,10,,,2,0,0,114,22,11,0,114,6,20,34,2,73,,,,0,187,0,68,0,"Sunday Dec 4, 1966",,16,,,2,1,5,161,33,12,1,203,2,13,33,0,109,,,,6,270,6,20,42,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,ATL,Atlanta Falcons
196612040gnb,,17,,,4,2,2,181,33,14,1,183,7,7,32,0,140,,,,1,321,4,66,2,"Sunday Dec 4, 1966",,20,,,1,1,0,204,24,13,1,236,4,20,36,2,107,,,,4,311,1,30,32,SFO,San Francisco 49ers,Milwaukee County Stadium,,Home,GNB,Green Bay Packers
