,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
197809020tam,,12,,,0,0,1,162,25,12,1,183,7,19,35,0,76,,,,4,238,1,64,21,"Saturday Sep 2, 1978",,16,,,4,1,3,86,28,10,0,93,8,13,39,1,165,,,,1,251,4,55,7,TAM,Tampa Bay Buccaneers,Tampa Stadium,8:00pm,Away,NYG,New York Giants
197809030nor,,28,,,4,2,4,269,49,28,2,282,7,24,32,1,155,,,,1,424,6,82,13,"Sunday Sep 3, 1978",,19,,,1,1,0,183,22,15,0,193,14,31,34,3,138,,,,2,321,1,127,10,MIN,Minnesota Vikings,Louisiana Superdome,1:00pm,Home,NOR,New Orleans Saints
197809030det,,16,,,1,0,0,31,9,3,0,31,8,13,55,1,181,,,,0,212,0,40,0,"Sunday Sep 3, 1978",,11,,,3,0,1,40,19,10,0,116,9,7,26,1,82,,,,8,122,1,31,76,DET,Detroit Lions,Pontiac Silverdome,1:00pm,Away,GNB,Green Bay Packers
197809030cle,,18,,,4,3,3,164,32,16,1,174,8,7,40,0,131,,,,1,295,6,55,10,"Sunday Sep 3, 1978",,18,,,6,3,0,180,26,12,1,190,8,24,41,2,213,,,,1,393,3,62,10,SFO,San Francisco 49ers,Cleveland Municipal Stadium,1:00pm,Home,CLE,Cleveland Browns
197809030cin,,26,,,4,2,0,121,20,14,0,133,9,24,69,3,267,,,,1,388,2,80,12,"Sunday Sep 3, 1978",,12,,,1,1,2,128,24,10,1,159,4,23,17,0,77,,,,4,205,3,27,31,CIN,Cincinnati Bengals,Riverfront Stadium,1:00pm,Away,KAN,Kansas City Chiefs
197809030buf,,21,,,0,0,1,217,19,14,2,217,5,28,43,2,142,,,,0,359,1,54,0,"Sunday Sep 3, 1978",,16,,,0,0,1,164,26,13,2,191,9,17,29,0,100,,,,3,264,1,62,27,BUF,Buffalo Bills,Rich Stadium,1:00pm,Away,PIT,Pittsburgh Steelers
197809030atl,,13,,,4,2,2,105,36,19,1,136,7,14,21,1,156,,,,4,261,4,52,31,"Sunday Sep 3, 1978",,11,,,3,1,0,71,23,10,1,104,8,20,35,0,100,,,,4,171,1,75,33,OTI,Houston Oilers,Atlanta-Fulton County Stadium,1:00pm,Home,ATL,Atlanta Falcons
197809030phi,,15,,,3,1,0,117,33,14,0,154,10,16,33,0,103,,,,5,220,1,82,37,"Sunday Sep 3, 1978",,10,,,2,1,1,80,17,7,1,102,3,14,30,0,128,,,,3,208,2,38,22,PHI,Philadelphia Eagles,Veterans Stadium,1:00pm,Away,RAM,Los Angeles Rams
197809030nyj,,16,,,0,0,2,175,29,15,2,187,4,20,25,1,154,,,,1,329,2,35,12,"Sunday Sep 3, 1978",,23,,,0,0,1,227,25,17,3,245,9,33,43,0,153,,,,2,380,1,59,18,MIA,Miami Dolphins,Shea Stadium,1:00pm,Home,NYJ,New York Jets
197809030nwe,,14,,,3,1,1,175,24,10,1,184,6,16,37,0,149,,,,1,324,2,45,9,"Sunday Sep 3, 1978",,21,,,1,1,2,165,31,12,2,199,5,14,40,0,161,,,,3,326,3,55,34,NWE,New England Patriots,Schaefer Stadium,1:00pm,Away,WAS,Washington Redskins
197809030chi,,16,,,1,0,2,137,33,17,1,152,5,10,28,0,99,,,,2,236,2,27,15,"Sunday Sep 3, 1978",,19,,,1,0,0,49,19,8,0,72,4,17,45,2,194,,,,3,243,0,57,23,CRD,St. Louis Cardinals,Soldier Field,2:00pm,Home,CHI,Chicago Bears
197809030den,,16,,,1,1,2,201,29,12,0,212,8,6,37,0,117,,,,1,318,3,68,11,"Sunday Sep 3, 1978",,13,,,1,0,1,8,13,5,1,34,2,14,41,1,144,,,,3,152,1,10,26,RAI,Oakland Raiders,Mile High Stadium,4:00pm,Home,DEN,Denver Broncos
197809030sea,,16,,,2,1,1,186,22,14,2,186,3,24,28,0,89,,,,0,275,2,15,0,"Sunday Sep 3, 1978",,22,,,2,1,1,308,32,21,2,329,5,20,38,1,138,,,,3,446,2,52,21,SEA,Seattle Seahawks,Seattle Kingdome,4:00pm,Away,SDG,San Diego Chargers
197809040dal,,9,,,1,1,2,82,20,9,0,116,6,0,27,0,99,,,,5,181,3,35,34,"Monday Sep 4, 1978",,25,,,1,1,2,305,27,19,4,305,4,38,45,1,278,,,,0,583,3,35,0,CLT,Baltimore Colts,Texas Stadium,9:00pm,Home,DAL,Dallas Cowboys
