,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
198109050tam,,27,,,4,2,2,343,63,37,1,361,4,13,27,0,100,,,,2,443,4,30,18,"Saturday Sep 5, 1981",,10,,,3,0,0,108,22,8,1,108,6,21,28,1,111,,,,0,219,0,50,0,MIN,Minnesota Vikings,Tampa Stadium,8:00pm,Home,TAM,Tampa Bay Buccaneers
198109060nwe,,21,,,1,1,0,97,20,12,0,113,10,29,43,3,249,,,,2,346,1,75,16,"Sunday Sep 6, 1981",,22,,,2,1,2,274,29,16,3,285,8,28,28,1,114,,,,3,388,3,84,11,NWE,New England Patriots,Schaefer Stadium,1:00pm,Away,CLT,Baltimore Colts
198109060det,,19,,,2,2,1,176,28,18,1,195,8,17,33,1,121,,,,4,297,3,54,19,"Sunday Sep 6, 1981",,21,,,1,1,1,168,27,16,2,196,7,24,30,1,127,,,,4,295,2,65,28,SFO,San Francisco 49ers,Pontiac Silverdome,1:00pm,Home,DET,Detroit Lions
198109060crd,,14,,,4,2,1,141,24,14,2,178,3,20,33,0,151,,,,4,292,3,20,37,"Sunday Sep 6, 1981",,14,,,1,1,1,142,35,17,0,176,5,7,29,1,61,,,,4,203,2,50,34,CRD,St. Louis Cardinals,Civic Center Busch Memorial Stadium,1:00pm,Away,MIA,Miami Dolphins
198109060cin,,17,,,4,3,1,230,41,21,1,230,6,21,23,1,60,,,,1,290,4,52,0,"Sunday Sep 6, 1981",,24,,,4,2,2,165,33,14,0,169,5,27,45,3,210,,,,3,375,4,40,4,SEA,Seattle Seahawks,Riverfront Stadium,1:00pm,Home,CIN,Cincinnati Bengals
198109060was,,20,,,2,1,0,140,24,12,2,145,10,26,44,0,206,,,,1,346,1,87,5,"Sunday Sep 6, 1981",,20,,,5,2,4,280,49,23,1,313,7,10,18,0,44,,,,3,324,6,89,33,WAS,Washington Redskins,Robert F. Kennedy Memorial Stadium,1:00pm,Away,DAL,Dallas Cowboys
198109060atl,,14,,,4,3,1,173,41,23,0,193,4,0,20,0,76,,,,3,249,4,20,20,"Sunday Sep 6, 1981",,21,,,3,2,2,135,26,16,3,154,6,27,38,0,164,,,,2,299,4,54,19,NOR,New Orleans Saints,Atlanta-Fulton County Stadium,1:00pm,Home,ATL,Atlanta Falcons
198109060pit,,17,,,1,1,1,214,26,14,2,242,11,37,40,1,139,,,,3,353,2,89,28,"Sunday Sep 6, 1981",,29,,,8,5,2,319,36,21,2,319,2,33,34,3,89,,,,0,408,7,15,0,PIT,Pittsburgh Steelers,Three Rivers Stadium,1:00pm,Away,KAN,Kansas City Chiefs
198109060nyg,,21,,,1,1,1,147,26,16,1,158,8,24,43,2,178,,,,1,325,2,49,11,"Sunday Sep 6, 1981",,14,,,3,1,0,175,37,20,1,241,8,10,23,0,55,,,,6,230,1,60,66,NYG,New York Giants,Giants Stadium,1:00pm,Away,PHI,Philadelphia Eagles
198109060chi,,20,,,2,2,1,153,23,10,0,165,6,16,46,2,193,,,,2,346,3,52,12,"Sunday Sep 6, 1981",,20,,,6,4,0,161,35,17,0,185,10,9,30,1,145,,,,3,306,4,72,24,CHI,Chicago Bears,Soldier Field,2:00pm,Away,GNB,Green Bay Packers
