,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
197209170nwe,,21,,,0,0,0,111,17,11,1,111,6,31,47,2,246,,,,0,357,0,60,0,"Sunday Sep 17, 1972",,9,,,3,1,2,83,17,9,0,117,2,7,21,0,54,,,,4,137,3,10,34,NWE,New England Patriots,Schaefer Stadium,1:00pm,Away,CIN,Cincinnati Bengals
197209170cle,,15,,,3,1,0,145,17,7,2,150,5,26,48,0,145,,,,1,290,1,47,5,"Sunday Sep 17, 1972",,13,,,2,1,3,126,33,14,0,133,4,10,23,0,62,,,,1,188,4,39,7,CLE,Cleveland Browns,Cleveland Municipal Stadium,1:00pm,Away,GNB,Green Bay Packers
197209170buf,,19,,,0,0,1,102,16,6,1,120,3,41,47,3,191,,,,1,293,1,35,18,"Sunday Sep 17, 1972",,16,,,0,0,4,207,26,16,3,236,8,24,25,0,80,,,,4,287,4,78,29,BUF,Buffalo Bills,War Memorial Stadium,1:00pm,Away,NYJ,New York Jets
197209170pit,,20,,,3,2,3,273,33,17,3,290,7,28,30,1,97,,,,2,370,5,48,17,"Sunday Sep 17, 1972",,17,,,2,1,3,106,17,7,1,124,5,34,41,2,141,,,,3,247,4,48,18,RAI,Oakland Raiders,Three Rivers Stadium,1:00pm,Home,PIT,Pittsburgh Steelers
197209170det,,14,,,3,1,1,133,25,16,1,137,6,16,27,0,112,,,,1,245,2,68,4,"Sunday Sep 17, 1972",,18,,,0,0,0,200,17,9,3,207,8,30,37,0,192,,,,2,392,0,76,7,NYG,New York Giants,Tiger Stadium,2:00pm,Home,DET,Detroit Lions
197209170dal,,17,,,2,1,3,245,36,20,0,250,7,6,30,0,70,,,,1,315,4,57,5,"Sunday Sep 17, 1972",,22,,,2,1,2,235,29,13,2,235,10,28,39,2,154,,,,0,389,3,85,0,PHI,Philadelphia Eagles,Texas Stadium,2:00pm,Home,DAL,Dallas Cowboys
197209170clt,,5,,,2,0,0,88,15,10,0,110,4,10,28,1,46,,,,2,134,0,35,22,"Sunday Sep 17, 1972",,20,,,1,1,2,247,36,22,0,257,1,3,27,0,117,,,,2,364,3,5,10,CLT,Baltimore Colts,Memorial Stadium (Baltimore),2:00pm,Away,CRD,St. Louis Cardinals
197209170chi,,16,,,1,1,1,146,9,6,2,151,6,37,37,1,173,,,,1,319,2,33,5,"Sunday Sep 17, 1972",,15,,,4,2,1,69,12,4,2,73,5,21,43,1,214,,,,1,283,3,23,4,CHI,Chicago Bears,Soldier Field,2:00pm,Away,ATL,Atlanta Falcons
197209170kan,,19,,,2,1,1,100,15,8,1,111,7,20,42,1,196,,,,2,296,2,75,11,"Sunday Sep 17, 1972",,16,,,2,2,2,198,33,22,1,237,9,10,27,0,134,,,,4,332,4,95,39,KAN,Kansas City Chiefs,Arrowhead Stadium,4:00pm,Away,MIA,Miami Dolphins
197209170den,,12,,,3,1,1,142,33,14,2,203,3,17,19,0,54,,,,7,196,2,25,61,"Sunday Sep 17, 1972",,18,,,2,2,1,239,24,11,1,261,9,30,36,2,239,,,,4,478,3,51,22,OTI,Houston Oilers,Mile High Stadium,4:00pm,Home,DEN,Denver Broncos
197209170sfo,,13,,,5,1,4,171,30,13,0,176,11,3,31,0,87,,,,1,258,5,70,5,"Sunday Sep 17, 1972",,18,,,2,0,2,178,25,13,3,188,4,34,35,1,117,,,,1,295,2,40,10,SDG,San Diego Chargers,Candlestick Park,4:00pm,Home,SFO,San Francisco 49ers
197209170ram,,20,,,2,1,1,218,46,21,2,249,4,14,18,0,69,,,,3,287,2,41,31,"Sunday Sep 17, 1972",,20,,,1,0,1,139,22,11,1,139,6,34,36,3,254,,,,0,393,1,47,0,NOR,New Orleans Saints,Los Angeles Memorial Coliseum,4:00pm,Home,RAM,Los Angeles Rams
197209180min,,11,,,1,0,1,57,17,7,0,57,5,24,31,2,146,,,,0,203,1,41,0,"Monday Sep 18, 1972",,26,,,3,2,0,200,31,18,2,233,4,21,43,1,182,,,,4,382,2,34,33,MIN,Minnesota Vikings,Metropolitan Stadium,9:00pm,Away,WAS,Washington Redskins
197209240nyg,,18,,,0,0,0,158,28,15,1,158,3,23,36,1,139,,,,0,297,0,27,0,"Sunday Sep 24, 1972",,14,,,3,1,1,271,28,19,2,298,4,14,26,0,84,,,,3,355,2,20,27,NYG,New York Giants,Yankee Stadium,1:00pm,Away,DAL,Dallas Cowboys
197209240nwe,,20,,,1,0,0,217,23,14,0,223,7,20,40,2,182,,,,1,399,0,44,6,"Sunday Sep 24, 1972",,19,,,1,0,0,184,29,12,1,195,3,21,26,2,103,,,,1,287,0,35,11,ATL,Atlanta Falcons,Schaefer Stadium,1:00pm,Home,NWE,New England Patriots
197209240mia,,7,,,4,2,1,104,21,9,1,104,5,13,21,1,63,,,,0,167,3,37,0,"Sunday Sep 24, 1972",,30,,,4,3,1,161,17,12,1,165,2,34,53,4,274,,,,1,435,4,20,4,OTI,Houston Oilers,Orange Bowl,1:00pm,Home,MIA,Miami Dolphins
197209240cin,,14,,,5,3,0,131,34,18,0,170,9,10,24,1,74,,,,4,205,3,78,39,"Sunday Sep 24, 1972",,13,,,3,3,1,148,27,13,0,157,9,15,39,0,121,,,,1,269,4,100,9,PIT,Pittsburgh Steelers,Riverfront Stadium,1:00pm,Home,CIN,Cincinnati Bengals
197209240was,,16,,,2,1,2,140,28,16,0,179,6,10,25,1,79,,,,5,219,3,58,39,"Sunday Sep 24, 1972",,19,,,1,0,0,91,22,13,2,97,6,24,37,0,181,,,,1,272,0,40,6,CRD,St. Louis Cardinals,Robert F. Kennedy Memorial Stadium,1:00pm,Home,WAS,Washington Redskins
197209240buf,,10,,,2,1,3,169,30,11,1,189,10,20,20,1,33,,,,2,202,4,101,20,"Sunday Sep 24, 1972",,17,,,0,0,1,56,21,8,1,105,8,27,43,2,177,,,,5,233,1,98,49,SFO,San Francisco 49ers,War Memorial Stadium,1:00pm,Home,BUF,Buffalo Bills
197209240phi,,15,,,0,0,1,142,20,9,1,152,2,27,36,2,155,,,,1,297,1,20,10,"Sunday Sep 24, 1972",,20,,,3,1,2,248,39,22,1,294,7,17,24,1,66,,,,5,314,3,69,46,PHI,Philadelphia Eagles,Veterans Stadium,1:00pm,Away,CLE,Cleveland Browns
197209240gnb,,21,,,2,1,0,117,21,8,0,142,7,20,46,1,196,,,,2,313,1,102,25,"Sunday Sep 24, 1972",,15,,,2,2,0,64,13,5,0,75,4,14,36,2,143,,,,1,207,2,55,11,GNB,Green Bay Packers,Lambeau Field,2:00pm,Away,RAI,Oakland Raiders
