,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
197209240clt,,19,,,2,1,1,490,28,15,6,496,10,44,25,0,83,,,,1,573,2,78,6,"Sunday Sep 24, 1972",,28,,,2,2,0,332,45,26,2,376,5,34,27,1,80,,,,6,412,2,55,44,CLT,Baltimore Colts,Memorial Stadium (Baltimore),2:00pm,Away,NYJ,New York Jets
197209240chi,,8,,,3,1,2,65,17,7,0,65,10,13,34,0,106,,,,0,171,3,91,0,"Sunday Sep 24, 1972",,11,,,2,2,2,26,15,3,1,52,7,13,33,0,144,,,,4,170,4,61,26,CHI,Chicago Bears,Soldier Field,2:00pm,Away,RAM,Los Angeles Rams
197209240det,,13,,,0,0,0,156,16,8,2,158,7,34,36,2,130,,,,1,286,0,53,2,"Sunday Sep 24, 1972",,16,,,2,1,4,124,40,17,0,128,2,10,25,1,89,,,,2,213,5,10,4,DET,Detroit Lions,Tiger Stadium,4:00pm,Away,MIN,Minnesota Vikings
197209240sdg,,17,,,0,0,6,218,37,20,0,258,7,14,20,1,95,,,,5,313,6,58,40,"Sunday Sep 24, 1972",,18,,,2,1,1,175,32,15,2,188,8,37,35,1,142,,,,1,317,2,70,13,DEN,Denver Broncos,San Diego Stadium,4:00pm,Home,SDG,San Diego Chargers
197209250nor,,20,,,4,3,1,185,29,21,2,204,4,20,33,0,139,,,,2,324,4,30,19,"Monday Sep 25, 1972",,10,,,2,0,0,93,24,10,1,115,3,17,24,0,59,,,,4,152,0,28,22,NOR,New Orleans Saints,Tulane Stadium,9:00pm,Away,KAN,Kansas City Chiefs
197210010cle,,19,,,2,2,2,203,43,21,0,221,1,6,30,0,128,,,,1,331,4,5,18,"Sunday Oct 1, 1972",,14,,,2,0,0,180,24,12,1,198,4,27,34,1,109,,,,2,289,0,50,18,CIN,Cincinnati Bengals,Cleveland Municipal Stadium,1:00pm,Home,CLE,Cleveland Browns
197210010buf,,17,,,2,2,2,180,29,12,1,184,1,17,41,1,159,,,,1,339,4,15,4,"Sunday Oct 1, 1972",,11,,,2,2,3,111,28,11,0,146,10,0,32,0,118,,,,4,229,5,74,35,BUF,Buffalo Bills,War Memorial Stadium,1:00pm,Away,CLT,Baltimore Colts
197210010atl,,13,,,0,0,6,137,32,10,0,172,2,3,24,0,112,,,,4,249,6,10,35,"Sunday Oct 1, 1972",,17,,,2,2,1,61,9,2,1,61,5,31,51,2,297,,,,1,358,3,45,0,RAM,Los Angeles Rams,Atlanta Stadium,1:00pm,Home,ATL,Atlanta Falcons
197210010nwe,,15,,,1,1,1,213,30,14,3,213,7,23,28,0,136,,,,0,349,2,60,0,"Sunday Oct 1, 1972",,23,,,2,1,1,253,34,17,2,255,2,24,34,1,127,,,,1,380,2,20,2,WAS,Washington Redskins,Schaefer Stadium,1:00pm,Home,NWE,New England Patriots
197210010nor,,14,,,3,2,1,192,28,20,2,208,7,37,36,1,126,,,,2,318,3,75,16,"Sunday Oct 1, 1972",,8,,,5,3,4,77,35,13,0,128,10,2,16,0,7,,,,5,84,7,69,51,NOR,New Orleans Saints,Tulane Stadium,2:00pm,Away,SFO,San Francisco 49ers
197210010gnb,,16,,,3,2,3,131,29,16,0,169,2,13,32,1,138,,,,4,269,5,19,38,"Sunday Oct 1, 1972",,11,,,0,0,0,44,18,4,0,53,1,16,40,1,124,,,,1,168,0,5,9,DAL,Dallas Cowboys,Milwaukee County Stadium,2:00pm,Home,GNB,Green Bay Packers
197210010crd,,20,,,2,1,1,209,40,25,1,229,6,25,32,1,153,,,,2,362,2,59,20,"Sunday Oct 1, 1972",,15,,,2,0,4,190,35,15,0,199,6,19,22,1,58,,,,2,248,4,50,9,CRD,St. Louis Cardinals,Civic Center Busch Memorial Stadium,2:00pm,Away,PIT,Pittsburgh Steelers
197210010chi,,21,,,1,0,0,115,12,8,1,131,0,38,43,4,197,,,,2,312,0,0,16,"Sunday Oct 1, 1972",,21,,,3,1,2,74,16,8,0,89,4,24,41,3,253,,,,2,327,3,50,15,CHI,Chicago Bears,Soldier Field,2:00pm,Away,DET,Detroit Lions
197210010oti,,19,,,2,2,2,301,38,18,2,301,4,20,24,0,97,,,,0,398,4,50,0,"Sunday Oct 1, 1972",,19,,,2,1,0,262,28,14,1,278,8,26,42,1,150,,,,2,412,1,68,16,NYJ,New York Jets,Houston Astrodome,2:00pm,Home,OTI,Houston Oilers
197210010min,,14,,,0,0,2,134,34,17,1,149,5,16,26,0,120,,,,2,254,2,55,15,"Sunday Oct 1, 1972",,12,,,1,1,3,109,23,10,1,142,3,14,35,1,131,,,,5,240,4,25,33,MIN,Minnesota Vikings,Metropolitan Stadium,4:00pm,Away,MIA,Miami Dolphins
197210010den,,14,,,1,0,1,175,23,11,3,194,9,45,32,1,130,,,,2,305,1,76,19,"Sunday Oct 1, 1972",,21,,,1,1,3,184,36,13,1,247,5,24,31,2,148,,,,8,332,4,43,63,DEN,Denver Broncos,Mile High Stadium,4:00pm,Away,KAN,Kansas City Chiefs
197210010rai,,20,,,4,2,1,149,13,9,0,156,7,17,50,1,196,,,,1,345,3,56,7,"Sunday Oct 1, 1972",,15,,,0,0,1,142,26,14,1,152,5,17,25,1,90,,,,1,232,1,52,10,RAI,Oakland Raiders,Oakland-Alameda County Coliseum,4:00pm,Away,SDG,San Diego Chargers
197210020phi,,21,,,0,0,2,164,19,12,3,164,5,27,46,1,157,,,,0,321,2,75,0,"Monday Oct 2, 1972",,21,,,3,2,2,212,26,14,1,241,5,12,29,0,182,,,,5,394,4,61,29,PHI,Philadelphia Eagles,Veterans Stadium,9:00pm,Away,NYG,New York Giants
197210080nyg,,15,,,4,2,4,228,31,18,3,276,1,21,12,0,58,,,,4,286,6,5,48,"Sunday Oct 8, 1972",,20,,,1,1,1,149,19,13,3,157,5,45,43,3,208,,,,1,357,2,45,8,NOR,New Orleans Saints,Yankee Stadium,1:00pm,Home,NYG,New York Giants
197210080cle,,18,,,0,0,1,62,18,8,3,81,4,31,48,1,221,,,,2,283,1,30,19,"Sunday Oct 8, 1972",,10,,,5,4,4,112,28,12,1,121,4,7,23,0,97,,,,1,209,8,40,9,CLE,Cleveland Browns,Cleveland Municipal Stadium,1:00pm,Away,KAN,Kansas City Chiefs
197210080cin,,11,,,2,0,0,37,19,6,0,86,6,10,31,1,130,,,,6,167,0,38,49,"Sunday Oct 8, 1972",,13,,,1,1,0,109,20,12,1,148,4,21,30,1,90,,,,5,199,1,40,39,DEN,Denver Broncos,Riverfront Stadium,1:00pm,Home,CIN,Cincinnati Bengals
197210080buf,,23,,,2,1,3,244,39,17,0,268,4,14,34,2,110,,,,2,354,4,34,24,"Sunday Oct 8, 1972",,19,,,2,2,0,160,13,9,2,178,4,38,45,3,145,,,,2,305,2,35,18,NWE,New England Patriots,War Memorial Stadium,1:00pm,Home,BUF,Buffalo Bills
197210080was,,12,,,1,1,1,176,31,16,0,214,7,0,26,0,60,,,,4,236,2,45,38,"Sunday Oct 8, 1972",,22,,,2,1,3,224,24,14,1,237,3,14,33,1,147,,,,1,371,4,15,13,PHI,Philadelphia Eagles,Robert F. Kennedy Memorial Stadium,1:00pm,Home,WAS,Washington Redskins
197210080atl,,15,,,1,1,3,134,17,5,1,142,4,26,37,2,180,,,,1,314,4,40,8,"Sunday Oct 8, 1972",,15,,,4,0,1,79,17,10,1,105,9,23,38,1,199,,,,4,278,1,88,26,ATL,Atlanta Falcons,Atlanta Stadium,1:00pm,Away,DET,Detroit Lions
197210080nyj,,23,,,2,1,0,220,27,15,1,220,4,27,38,2,174,,,,0,394,1,50,0,"Sunday Oct 8, 1972",,16,,,2,0,1,147,25,12,0,156,7,17,31,1,123,,,,1,270,1,58,9,NYJ,New York Jets,Shea Stadium,1:00pm,Away,MIA,Miami Dolphins
197210080min,,12,,,1,0,0,153,23,12,2,153,3,19,31,0,109,,,,0,262,0,25,0,"Sunday Oct 8, 1972",,21,,,1,1,1,113,23,15,1,124,3,17,45,1,179,,,,2,292,2,35,11,MIN,Minnesota Vikings,Metropolitan Stadium,2:00pm,Away,CRD,St. Louis Cardinals
197210080gnb,,13,,,2,1,0,119,15,7,0,119,3,17,45,2,139,,,,0,258,1,25,0,"Sunday Oct 8, 1972",,17,,,4,2,0,240,30,15,1,240,6,20,31,0,101,,,,0,341,2,68,0,CHI,Chicago Bears,Lambeau Field,2:00pm,Home,GNB,Green Bay Packers
197210080dal,,14,,,3,1,1,142,39,12,0,166,7,13,26,0,130,,,,3,272,2,54,24,"Sunday Oct 8, 1972",,21,,,3,2,2,176,30,12,1,197,8,17,40,1,191,,,,2,367,4,79,21,PIT,Pittsburgh Steelers,Texas Stadium,2:00pm,Home,DAL,Dallas Cowboys
197210080clt,,24,,,2,2,3,137,20,12,0,148,8,23,49,2,213,,,,1,350,5,78,11,"Sunday Oct 8, 1972",,19,,,4,3,0,120,22,14,0,130,7,20,33,2,145,,,,1,265,3,83,10,CLT,Baltimore Colts,Memorial Stadium (Baltimore),2:00pm,Away,SDG,San Diego Chargers
197210080ram,,13,,,0,0,2,131,18,10,0,135,4,7,27,1,119,,,,2,250,2,27,4,"Sunday Oct 8, 1972",,22,,,2,1,0,211,23,12,2,225,8,31,43,2,302,,,,2,513,1,71,14,SFO,San Francisco 49ers,Los Angeles Memorial Coliseum,4:00pm,Home,RAM,Los Angeles Rams
197210090oti,,19,,,4,4,0,138,27,13,3,167,8,34,38,1,164,,,,3,302,4,70,29,"Monday Oct 9, 1972",,7,,,1,0,5,-1,25,4,0,31,6,0,22,0,90,,,,4,89,5,69,32,OTI,Houston Oilers,Houston Astrodome,9:00pm,Away,RAI,Oakland Raiders
197210150phi,,18,,,2,0,0,147,22,11,1,147,8,34,40,3,166,,,,0,313,0,60,0,"Sunday Oct 15, 1972",,14,,,5,3,2,90,33,14,0,158,5,3,21,0,47,,,,7,137,5,45,68,PHI,Philadelphia Eagles,Veterans Stadium,1:00pm,Away,RAM,Los Angeles Rams
197210150nwe,,24,,,1,0,1,63,9,5,1,63,5,41,54,4,333,,,,0,396,1,69,0,"Sunday Oct 15, 1972",,18,,,1,0,2,175,31,18,0,187,6,13,23,1,136,,,,1,311,2,89,12,NWE,New England Patriots,Schaefer Stadium,1:00pm,Away,NYJ,New York Jets
197210150mia,,15,,,1,1,2,110,22,12,1,117,4,10,36,0,133,,,,1,243,3,25,7,"Sunday Oct 15, 1972",,14,,,2,1,0,86,13,9,2,105,5,24,39,0,153,,,,3,239,1,33,19,SDG,San Diego Chargers,Orange Bowl,1:00pm,Home,MIA,Miami Dolphins
197210150cle,,13,,,4,0,1,54,9,2,1,62,8,17,48,1,256,,,,2,310,1,60,8,"Sunday Oct 15, 1972",,9,,,2,1,0,126,29,13,0,169,4,0,23,0,37,,,,5,163,1,48,43,CLE,Cleveland Browns,Cleveland Municipal Stadium,1:00pm,Away,CHI,Chicago Bears
197210150nor,,17,,,5,5,0,175,26,16,3,185,2,21,41,0,147,,,,2,322,5,30,10,"Sunday Oct 15, 1972",,8,,,3,3,0,20,18,6,0,51,8,14,30,1,101,,,,3,121,3,56,31,NOR,New Orleans Saints,Tulane Stadium,2:00pm,Away,ATL,Atlanta Falcons
197210150crd,,20,,,5,2,1,230,20,15,0,230,6,33,43,3,160,,,,0,390,3,65,0,"Sunday Oct 15, 1972",,10,,,4,2,2,85,24,9,0,94,3,3,21,0,66,,,,1,151,4,15,9,CRD,St. Louis Cardinals,Civic Center Busch Memorial Stadium,2:00pm,Away,WAS,Washington Redskins
197210150kan,,11,,,2,2,0,182,25,14,2,182,3,23,24,0,69,,,,0,251,2,21,0,"Sunday Oct 15, 1972",,22,,,1,0,2,197,40,22,1,243,5,16,31,0,123,,,,6,320,2,47,46,KAN,Kansas City Chiefs,Arrowhead Stadium,4:00pm,Away,CIN,Cincinnati Bengals
197210150den,,21,,,2,1,0,177,30,19,1,182,4,23,31,1,128,,,,1,305,1,30,5,"Sunday Oct 15, 1972",,15,,,2,0,2,175,27,15,1,175,5,20,33,2,161,,,,0,336,2,73,0,DEN,Denver Broncos,Mile High Stadium,4:00pm,Away,MIN,Minnesota Vikings
197210150clt,,21,,,1,0,2,265,30,22,2,279,11,21,37,1,125,,,,1,390,2,139,14,"Sunday Oct 15, 1972",,14,,,4,2,1,70,26,13,0,109,5,0,23,0,105,,,,5,175,3,67,39,CLT,Baltimore Colts,Memorial Stadium (Baltimore),4:00pm,Away,DAL,Dallas Cowboys
197210150sfo,,18,,,3,2,0,129,16,11,0,129,1,23,41,2,140,,,,0,269,2,5,0,"Sunday Oct 15, 1972",,18,,,5,3,2,257,30,21,2,269,3,17,21,0,85,,,,3,342,5,28,12,SFO,San Francisco 49ers,Candlestick Park,4:00pm,Away,NYG,New York Giants
197210150rai,,16,,,0,0,1,114,23,15,1,139,7,16,45,0,181,,,,3,295,1,77,25,"Sunday Oct 15, 1972",,22,,,1,0,2,181,26,10,1,192,7,28,34,3,215,,,,1,396,2,67,11,BUF,Buffalo Bills,Oakland-Alameda County Coliseum,4:00pm,Home,RAI,Oakland Raiders
197210150pit,,7,,,2,0,1,0,22,10,0,40,3,7,25,0,108,,,,5,108,1,42,40,"Sunday Oct 15, 1972",,18,,,2,0,0,46,19,9,1,70,7,24,48,2,249,,,,3,295,0,65,24,OTI,Houston Oilers,Three Rivers Stadium,4:00pm,Home,PIT,Pittsburgh Steelers
197210160det,,16,,,1,1,1,140,18,11,1,149,4,24,35,1,125,,,,1,265,2,26,9,"Monday Oct 16, 1972",,18,,,1,0,2,83,19,9,0,105,2,23,36,2,146,,,,3,229,2,21,22,DET,Detroit Lions,Tiger Stadium,9:00pm,Away,GNB,Green Bay Packers
197210220pit,,17,,,1,1,3,149,32,16,0,225,6,3,24,0,127,,,,7,276,4,101,76,"Sunday Oct 22, 1972",,19,,,2,1,0,183,14,9,1,196,6,33,40,1,243,,,,2,426,1,38,13,NWE,New England Patriots,Three Rivers Stadium,1:00pm,Home,PIT,Pittsburgh Steelers
197210220nyj,,23,,,2,2,0,227,34,19,1,253,4,20,46,1,179,,,,1,406,2,30,26,"Sunday Oct 22, 1972",,10,,,1,1,3,228,16,5,2,228,3,24,30,1,119,,,,0,347,4,25,0,CLT,Baltimore Colts,Shea Stadium,1:00pm,Home,NYJ,New York Jets
197210220nyg,,13,,,3,1,2,108,25,13,1,137,7,21,26,2,83,,,,4,191,3,45,29,"Sunday Oct 22, 1972",,16,,,2,2,1,209,26,15,1,209,4,27,36,1,107,,,,0,316,3,30,0,CRD,St. Louis Cardinals,Yankee Stadium,1:00pm,Home,NYG,New York Giants
197210220mia,,11,,,2,1,0,24,18,7,1,45,6,23,32,0,164,,,,2,188,1,66,21,"Sunday Oct 22, 1972",,20,,,3,3,1,80,10,6,0,91,9,24,52,3,230,,,,1,310,4,91,11,BUF,Buffalo Bills,Orange Bowl,1:00pm,Home,MIA,Miami Dolphins
197210220det,,17,,,2,1,2,143,27,12,2,161,7,20,21,1,82,,,,2,225,3,47,18,"Sunday Oct 22, 1972",,24,,,4,1,1,142,24,12,1,151,6,34,44,3,182,,,,1,324,2,48,9,SDG,San Diego Chargers,Tiger Stadium,1:00pm,Home,DET,Detroit Lions
197210220oti,,13,,,1,0,0,119,19,9,1,127,7,23,39,1,135,,,,2,254,0,45,8,"Sunday Oct 22, 1972",,17,,,5,2,0,221,27,17,2,239,9,17,36,0,143,,,,3,364,2,95,18,OTI,Houston Oilers,Houston Astrodome,2:00pm,Away,CLE,Cleveland Browns
197210220kan,,12,,,3,0,2,196,12,8,3,209,5,21,45,0,153,,,,1,349,2,49,13,"Sunday Oct 22, 1972",,17,,,4,1,1,152,29,17,1,168,1,20,32,1,92,,,,2,244,2,5,16,KAN,Kansas City Chiefs,Arrowhead Stadium,2:00pm,Away,PHI,Philadelphia Eagles
197210220gnb,,19,,,3,1,0,137,25,14,0,143,4,10,45,1,107,,,,1,244,1,39,6,"Sunday Oct 22, 1972",,10,,,2,2,0,103,15,6,0,108,4,9,29,0,112,,,,1,215,2,46,5,GNB,Green Bay Packers,Milwaukee County Stadium,2:00pm,Away,ATL,Atlanta Falcons
197210220rai,,15,,,4,1,0,396,29,21,3,396,11,30,24,0,13,,,,0,409,1,95,0,"Sunday Oct 22, 1972",,23,,,1,1,0,189,40,22,1,242,9,23,27,1,127,,,,6,316,1,75,53,RAI,Oakland Raiders,Oakland-Alameda County Coliseum,4:00pm,Away,DEN,Denver Broncos
197210220was,,18,,,1,0,2,160,27,14,1,174,2,20,26,1,116,,,,3,276,2,20,14,"Sunday Oct 22, 1972",,17,,,2,1,0,172,16,11,1,180,5,24,37,2,133,,,,1,305,1,47,8,DAL,Dallas Cowboys,Robert F. Kennedy Memorial Stadium,4:00pm,Home,WAS,Washington Redskins
197210220sfo,,19,,,3,1,1,273,27,17,2,287,5,20,34,0,94,,,,2,367,2,30,14,"Sunday Oct 22, 1972",,14,,,0,0,3,274,35,19,2,286,5,20,21,0,66,,,,2,340,3,35,12,SFO,San Francisco 49ers,Candlestick Park,4:00pm,Away,NOR,New Orleans Saints
197210220ram,,20,,,5,2,0,110,29,18,1,154,3,12,46,0,173,,,,5,283,2,43,44,"Sunday Oct 22, 1972",,9,,,2,1,2,94,23,9,0,100,7,15,22,1,55,,,,1,149,3,55,6,CIN,Cincinnati Bengals,Los Angeles Memorial Coliseum,4:00pm,Home,RAM,Los Angeles Rams
197210230chi,,12,,,3,3,1,231,25,17,1,244,2,10,19,0,51,,,,2,282,4,20,13,"Monday Oct 23, 1972",,17,,,4,3,1,46,6,4,1,56,0,13,53,0,195,,,,2,241,4,0,10,MIN,Minnesota Vikings,Soldier Field,9:00pm,Home,CHI,Chicago Bears
197210290nyg,,16,,,1,1,1,127,17,9,2,127,6,23,36,1,210,,,,0,337,2,61,0,"Sunday Oct 29, 1972",,19,,,3,2,0,248,37,25,1,258,4,16,25,0,112,,,,1,360,2,30,10,NYG,New York Giants,Yankee Stadium,1:00pm,Away,WAS,Washington Redskins
197210290cin,,10,,,1,1,1,47,17,7,0,65,0,7,15,1,98,,,,3,145,2,0,18,"Sunday Oct 29, 1972",,29,,,1,1,1,252,31,23,0,252,8,30,46,3,244,,,,0,496,2,96,0,OTI,Houston Oilers,Riverfront Stadium,1:00pm,Home,CIN,Cincinnati Bengals
197210290buf,,18,,,1,0,1,93,17,9,1,93,6,38,33,4,216,,,,0,309,1,64,0,"Sunday Oct 29, 1972",,24,,,1,0,4,164,29,18,2,168,3,21,38,1,254,,,,1,418,4,23,4,BUF,Buffalo Bills,War Memorial Stadium,1:00pm,Away,PIT,Pittsburgh Steelers
197210290atl,,19,,,3,2,1,159,18,8,3,159,6,49,46,2,189,,,,0,348,3,70,0,"Sunday Oct 29, 1972",,13,,,4,0,4,97,35,12,1,159,3,14,20,1,55,,,,6,152,4,29,62,ATL,Atlanta Falcons,Atlanta Stadium,1:00pm,Away,SFO,San Francisco 49ers
197210290nyj,,14,,,0,0,3,128,36,11,0,153,5,10,17,1,66,,,,2,194,3,61,25,"Sunday Oct 29, 1972",,21,,,2,1,1,201,25,13,1,217,9,34,40,3,191,,,,2,392,2,102,16,NWE,New England Patriots,Shea Stadium,1:00pm,Home,NYJ,New York Jets
197210290nor,,13,,,1,1,2,57,21,8,0,88,6,3,32,0,152,,,,4,209,3,55,31,"Sunday Oct 29, 1972",,23,,,0,0,1,284,35,20,2,295,5,21,35,1,148,,,,2,432,1,65,11,PHI,Philadelphia Eagles,Tulane Stadium,2:00pm,Home,NOR,New Orleans Saints
