,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
196809140min,,14,,,4,3,1,153,35,16,0,182,7,7,21,1,81,,,,4,234,4,106,29,"Saturday Sep 14, 1968",,21,,,3,2,0,218,23,19,3,232,6,47,41,3,186,,,,1,404,2,66,14,ATL,Atlanta Falcons,Metropolitan Stadium,,Home,MIN,Minnesota Vikings
196809150nor,,16,,,2,2,1,185,20,10,1,201,6,24,35,1,153,,,,2,338,3,78,16,"Sunday Sep 15, 1968",,14,,,1,0,3,123,31,15,0,152,2,10,28,1,85,,,,3,208,3,24,29,NOR,New Orleans Saints,Tulane Stadium,,Away,CLE,Cleveland Browns
196809150gnb,,15,,,0,0,1,187,35,16,1,196,4,13,19,0,91,,,,1,278,1,36,9,"Sunday Sep 15, 1968",,18,,,1,0,1,193,18,14,2,220,5,30,37,1,185,,,,2,378,1,48,27,PHI,Philadelphia Eagles,Lambeau Field,,Home,GNB,Green Bay Packers
196809150dal,,15,,,0,0,4,189,31,15,2,231,1,13,21,0,68,,,,5,257,4,3,42,"Sunday Sep 15, 1968",,29,,,1,0,0,381,36,25,3,392,5,59,38,4,161,,,,1,542,0,35,11,DET,Detroit Lions,Cotton Bowl,,Home,DAL,Dallas Cowboys
196809150clt,,15,,,1,0,3,189,42,23,0,200,8,10,21,0,83,,,,1,272,3,70,11,"Sunday Sep 15, 1968",,22,,,1,0,1,185,31,16,2,198,3,27,36,1,161,,,,2,346,1,25,13,SFO,San Francisco 49ers,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196809150chi,,18,,,2,1,0,263,21,14,4,276,8,38,29,1,74,,,,1,337,1,75,13,"Sunday Sep 15, 1968",,18,,,1,1,2,151,30,17,0,151,9,28,32,4,165,,,,0,316,3,107,0,CHI,Chicago Bears,Wrigley Field,,Away,WAS,Washington Redskins
196809150pit,,21,,,2,2,0,166,22,12,2,172,7,34,46,2,165,,,,1,331,2,70,6,"Sunday Sep 15, 1968",,20,,,1,1,3,194,32,15,2,194,4,20,25,1,130,,,,0,324,4,35,0,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,NYG,New York Giants
196809160crd,,15,,,0,1,0,84,22,9,1,97,10,24,34,1,154,,,,2,238,1,83,13,"Monday Sep 16, 1968",,18,,,0,0,3,169,40,17,1,211,5,13,25,0,75,,,,5,244,3,51,42,CRD,St. Louis Cardinals,Civic Center Busch Memorial Stadium,,Away,RAM,Los Angeles Rams
196809220nor,,12,,,2,2,1,147,27,14,2,184,7,17,22,0,81,,,,4,228,3,61,37,"Sunday Sep 22, 1968",,17,,,2,2,1,183,25,15,2,190,8,37,32,1,183,,,,2,366,3,78,7,WAS,Washington Redskins,Tulane Stadium,,Home,NOR,New Orleans Saints
196809220gnb,,20,,,0,0,1,118,15,9,0,138,4,26,39,3,124,,,,2,242,1,28,20,"Sunday Sep 22, 1968",,18,,,3,0,2,137,22,14,1,148,8,13,27,1,105,,,,1,242,2,90,11,GNB,Green Bay Packers,Milwaukee County Stadium,,Away,MIN,Minnesota Vikings
196809220det,,11,,,3,2,8,106,36,11,0,114,9,0,21,0,61,,,,1,167,10,87,8,"Sunday Sep 22, 1968",,22,,,1,1,1,295,24,16,3,320,15,42,33,2,173,,,,4,468,2,147,25,CHI,Chicago Bears,Tiger Stadium,,Home,DET,Detroit Lions
196809220dal,,12,,,3,2,0,163,19,12,1,197,5,7,26,0,87,,,,5,250,2,87,34,"Sunday Sep 22, 1968",,24,,,1,1,0,143,17,10,0,156,4,28,44,3,203,,,,2,346,1,62,13,CLE,Cleveland Browns,Cotton Bowl,,Home,DAL,Dallas Cowboys
196809220atl,,22,,,3,3,3,263,23,16,3,279,4,28,34,1,125,,,,2,388,6,29,16,"Sunday Sep 22, 1968",,12,,,4,1,1,164,24,11,1,172,8,20,28,1,86,,,,2,250,2,75,8,ATL,Atlanta Falcons,Atlanta Stadium,,Away,CLT,Baltimore Colts
196809220sfo,,13,,,4,4,0,123,24,11,1,159,2,17,25,0,105,,,,4,228,4,10,36,"Sunday Sep 22, 1968",,22,,,1,1,2,263,29,17,4,279,5,35,45,1,132,,,,2,395,3,31,16,CRD,St. Louis Cardinals,Kezar Stadium,,Home,SFO,San Francisco 49ers
196809220ram,,16,,,1,1,2,202,36,16,0,225,3,10,24,1,56,,,,3,258,3,29,23,"Sunday Sep 22, 1968",,20,,,0,0,0,291,32,21,5,306,6,45,28,1,87,,,,1,378,0,59,15,PIT,Pittsburgh Steelers,Los Angeles Memorial Coliseum,,Home,RAM,Los Angeles Rams
196809220phi,,24,,,1,0,1,176,20,14,1,190,4,34,46,2,201,,,,2,377,1,33,14,"Sunday Sep 22, 1968",,12,,,2,1,2,125,14,4,2,137,6,25,25,1,201,,,,2,326,3,63,12,PHI,Philadelphia Eagles,Franklin Field,,Away,NYG,New York Giants
196809290nor,,14,,,0,0,1,97,32,11,1,137,6,21,26,1,122,,,,4,219,1,97,40,"Sunday Sep 29, 1968",,18,,,0,0,1,227,27,19,2,249,8,20,34,0,96,,,,2,323,1,73,22,NOR,New Orleans Saints,Tulane Stadium,,Away,CRD,St. Louis Cardinals
196809290min,,20,,,2,2,0,131,20,14,1,157,8,27,43,2,278,,,,4,409,2,126,26,"Sunday Sep 29, 1968",,17,,,2,1,2,121,25,12,1,147,3,17,26,1,158,,,,3,279,3,45,26,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,CHI,Chicago Bears
196809290gnb,,20,,,1,0,1,190,22,15,2,194,4,23,43,1,153,,,,1,343,1,44,4,"Sunday Sep 29, 1968",,15,,,1,0,3,219,20,9,2,255,4,17,26,0,105,,,,4,324,3,34,36,GNB,Green Bay Packers,Lambeau Field,,Away,DET,Detroit Lions
196809290cle,,22,,,1,1,1,176,34,17,1,176,5,24,42,2,188,,,,0,364,2,43,0,"Sunday Sep 29, 1968",,6,,,3,1,2,63,16,4,1,97,5,6,20,0,66,,,,4,129,3,40,34,CLE,Cleveland Browns,Cleveland Municipal Stadium,,Away,RAM,Los Angeles Rams
196809290sfo,,14,,,3,0,1,156,32,14,1,161,4,13,21,0,71,,,,1,227,1,30,5,"Sunday Sep 29, 1968",,24,,,2,0,1,185,20,17,3,191,7,28,46,1,189,,,,3,374,1,60,6,ATL,Atlanta Falcons,Kezar Stadium,,Home,SFO,San Francisco 49ers
196809290pit,,18,,,1,0,1,153,24,14,1,189,4,41,33,1,123,,,,5,276,1,30,36,"Sunday Sep 29, 1968",,11,,,2,1,3,164,36,15,1,201,3,7,20,0,49,,,,5,213,4,32,37,PIT,Pittsburgh Steelers,Pitt Stadium,,Away,CLT,Baltimore Colts
196809290phi,,21,,,3,1,1,281,25,16,5,284,3,45,31,1,137,,,,1,418,2,35,3,"Sunday Sep 29, 1968",,14,,,3,2,5,223,31,16,1,243,3,13,21,0,40,,,,3,263,7,23,20,PHI,Philadelphia Eagles,Franklin Field,,Away,DAL,Dallas Cowboys
196809290nyg,,23,,,3,2,3,277,42,27,2,282,7,21,23,1,99,,,,1,376,5,44,5,"Sunday Sep 29, 1968",,20,,,1,0,1,226,20,11,2,272,6,48,36,3,151,,,,4,377,1,50,46,WAS,Washington Redskins,Yankee Stadium,,Home,NYG,New York Giants
196810050cle,,19,,,1,1,1,156,27,13,2,165,6,24,27,0,116,,,,1,272,2,52,9,"Saturday Oct 5, 1968",,24,,,3,2,1,190,25,16,1,190,6,31,38,3,184,,,,0,374,3,72,0,PIT,Pittsburgh Steelers,Cleveland Municipal Stadium,,Home,CLE,Cleveland Browns
196810060crd,,22,,,0,0,1,103,20,11,1,125,5,27,40,2,194,,,,2,297,1,57,22,"Sunday Oct 6, 1968",,14,,,1,0,2,173,33,17,1,190,6,10,25,0,78,,,,2,251,2,57,17,CRD,St. Louis Cardinals,Civic Center Busch Memorial Stadium,,Away,DAL,Dallas Cowboys
196810060clt,,7,,,0,0,1,80,18,7,0,90,6,7,25,1,145,,,,2,225,1,40,10,"Sunday Oct 6, 1968",,22,,,1,1,2,306,28,15,4,311,7,28,36,0,154,,,,1,460,3,34,5,CHI,Chicago Bears,Memorial Stadium (Baltimore),,Home,CLT,Baltimore Colts
196810060atl,,26,,,2,1,0,312,36,24,4,334,5,38,37,1,158,,,,3,470,1,36,22,"Sunday Oct 6, 1968",,7,,,1,1,4,76,19,5,0,99,3,7,26,1,78,,,,3,154,5,15,23,ATL,Atlanta Falcons,Atlanta Stadium,,Away,GNB,Green Bay Packers
196810060was,,13,,,1,0,4,138,26,13,1,146,5,14,27,0,83,,,,1,221,4,48,8,"Sunday Oct 6, 1968",,17,,,0,0,1,196,29,21,1,196,5,17,33,1,124,,,,0,320,1,43,0,PHI,Philadelphia Eagles,District of Columbia Stadium,,Home,WAS,Washington Redskins
196810060ram,,12,,,1,0,1,96,23,13,1,137,10,10,22,0,62,,,,5,158,1,81,41,"Sunday Oct 6, 1968",,19,,,2,1,1,154,24,12,1,161,7,24,39,2,121,,,,1,275,2,52,7,SFO,San Francisco 49ers,Los Angeles Memorial Coliseum,,Home,RAM,Los Angeles Rams
196810060nyg,,23,,,0,1,3,219,42,24,2,225,12,21,19,1,95,,,,2,314,4,142,6,"Sunday Oct 6, 1968",,19,,,1,1,0,166,22,11,3,177,8,38,30,2,95,,,,1,261,1,97,11,NOR,New Orleans Saints,Yankee Stadium,,Home,NYG,New York Giants
196810060min,,9,,,1,1,0,168,18,13,1,196,5,10,21,0,79,,,,5,247,1,63,28,"Sunday Oct 6, 1968",,18,,,0,0,0,130,22,11,0,146,4,24,38,3,135,,,,2,265,0,30,16,DET,Detroit Lions,Metropolitan Stadium,,Home,MIN,Minnesota Vikings
196810130dal,,11,,,1,1,4,72,22,9,2,110,4,14,24,0,92,,,,5,164,5,52,38,"Sunday Oct 13, 1968",,27,,,1,1,0,263,39,22,2,318,13,34,35,2,151,,,,6,414,1,159,55,PHI,Philadelphia Eagles,Cotton Bowl,,Home,DAL,Dallas Cowboys
196810130cle,,20,,,0,0,2,135,24,9,1,140,5,27,39,2,147,,,,1,282,2,68,5,"Sunday Oct 13, 1968",,15,,,0,0,2,311,40,17,2,324,6,21,17,1,22,,,,1,333,2,101,13,CLE,Cleveland Browns,Cleveland Municipal Stadium,,Away,CRD,St. Louis Cardinals
196810130chi,,24,,,3,1,0,161,23,13,1,169,6,28,51,3,244,,,,1,405,1,78,8,"Sunday Oct 13, 1968",,12,,,3,2,0,111,22,6,1,131,6,10,28,0,130,,,,2,241,2,81,20,CHI,Chicago Bears,Wrigley Field,,Away,DET,Detroit Lions
196810130atl,,23,,,2,2,1,242,24,16,3,257,1,21,33,0,179,,,,1,421,3,5,15,"Sunday Oct 13, 1968",,17,,,0,0,0,186,15,10,0,205,3,24,37,3,136,,,,3,322,0,35,19,NYG,New York Giants,Atlanta Stadium,,Home,ATL,Atlanta Falcons
196810130was,,17,,,3,2,1,104,20,9,1,131,2,13,29,0,183,,,,3,287,3,17,27,"Sunday Oct 13, 1968",,19,,,2,1,1,178,29,15,2,178,5,16,39,0,116,,,,0,294,2,57,0,PIT,Pittsburgh Steelers,District of Columbia Stadium,,Home,WAS,Washington Redskins
196810130sfo,,18,,,0,0,1,182,25,14,3,194,9,42,24,2,96,,,,2,278,1,75,12,"Sunday Oct 13, 1968",,28,,,3,1,3,236,36,19,1,266,4,14,37,1,156,,,,4,392,4,40,30,SFO,San Francisco 49ers,Kezar Stadium,,Away,CLT,Baltimore Colts
196810130nor,,15,,,2,2,2,51,28,9,0,78,4,17,39,1,139,,,,3,190,4,33,27,"Sunday Oct 13, 1968",,10,,,4,4,3,86,17,9,1,93,6,20,30,0,121,,,,1,207,7,75,7,MIN,Minnesota Vikings,Tulane Stadium,,Home,NOR,New Orleans Saints
196810130gnb,,11,,,1,1,0,97,20,7,0,110,2,16,38,1,93,,,,1,190,1,10,13,"Sunday Oct 13, 1968",,15,,,4,2,3,113,28,13,0,139,3,14,29,1,84,,,,2,197,5,33,26,GNB,Green Bay Packers,Milwaukee County Stadium,,Away,RAM,Los Angeles Rams
196810200min,,9,,,1,1,1,93,16,10,0,103,3,20,26,1,84,,,,1,177,2,38,10,"Sunday Oct 20, 1968",,16,,,2,1,2,144,26,16,0,160,3,7,39,1,130,,,,2,274,3,42,16,MIN,Minnesota Vikings,Metropolitan Stadium,,Away,DAL,Dallas Cowboys
