,attendance,away_first_downs,away_fourth_down_attempts,away_fourth_down_conversions,away_fumbles,away_fumbles_lost,away_interceptions,away_net_pass_yards,away_pass_attempts,away_pass_completions,away_pass_touchdowns,away_pass_yards,away_penalties,away_points,away_rush_attempts,away_rush_touchdowns,away_rush_yards,away_third_down_attempts,away_third_down_conversions,away_time_of_possession,away_times_sacked,away_total_yards,away_turnovers,away_yards_from_penalties,away_yards_lost_from_sacks,date,duration,home_first_downs,home_fourth_down_attempts,home_fourth_down_conversions,home_fumbles,home_fumbles_lost,home_interceptions,home_net_pass_yards,home_pass_attempts,home_pass_completions,home_pass_touchdowns,home_pass_yards,home_penalties,home_points,home_rush_attempts,home_rush_touchdowns,home_rush_yards,home_third_down_attempts,home_third_down_conversions,home_time_of_possession,home_times_sacked,home_total_yards,home_turnovers,home_yards_from_penalties,home_yards_lost_from_sacks,losing_abbr,losing_name,stadium,time,winner,winning_abbr,winning_name
197709180nyg,,19,,,3,1,1,139,26,13,1,153,10,17,38,1,122,,,,2,261,2,85,14,"Sunday Sep 18, 1977",,13,,,1,0,1,113,14,7,1,123,13,20,41,0,166,,,,1,279,1,112,10,WAS,Washington Redskins,Giants Stadium,1:00pm,Home,NYG,New York Giants
197709180nwe,,21,,,3,2,0,155,26,13,0,219,6,17,37,2,180,,,,6,335,2,71,64,"Sunday Sep 18, 1977",,19,,,3,2,2,140,16,10,1,155,13,21,46,2,241,,,,2,381,4,96,15,KAN,Kansas City Chiefs,Schaefer Stadium,1:00pm,Home,NWE,New England Patriots
197709180cin,,16,,,3,2,1,173,22,15,0,198,9,13,37,1,112,,,,4,285,3,73,25,"Sunday Sep 18, 1977",,16,,,2,2,1,141,34,16,0,157,3,3,33,0,104,,,,3,245,3,25,16,CIN,Cincinnati Bengals,Riverfront Stadium,1:00pm,Away,CLE,Cleveland Browns
197709180buf,,10,,,1,0,0,52,19,9,0,84,1,13,32,1,96,,,,3,148,0,10,32,"Sunday Sep 18, 1977",,16,,,7,3,1,197,37,19,0,204,6,0,40,0,127,,,,1,324,4,71,7,BUF,Buffalo Bills,Rich Stadium,1:00pm,Away,MIA,Miami Dolphins
197709180atl,,9,,,3,3,0,108,30,15,1,141,7,6,21,0,59,,,,3,167,3,60,33,"Sunday Sep 18, 1977",,14,,,0,0,0,108,17,10,0,121,6,17,52,2,156,,,,2,264,0,53,13,RAM,Los Angeles Rams,Atlanta-Fulton County Stadium,1:00pm,Home,ATL,Atlanta Falcons
197709180phi,,8,,,1,1,0,26,27,11,0,70,8,3,27,0,92,,,,5,118,1,77,44,"Sunday Sep 18, 1977",,15,,,3,3,2,137,25,15,2,162,4,13,38,0,144,,,,3,281,5,29,25,TAM,Tampa Bay Buccaneers,Veterans Stadium,1:00pm,Home,PHI,Philadelphia Eagles
197709180nor,,11,,,0,0,1,123,20,11,1,142,4,24,34,1,81,,,,2,204,1,50,19,"Sunday Sep 18, 1977",,19,,,2,1,1,162,30,18,1,225,8,20,32,2,153,,,,7,315,2,54,63,NOR,New Orleans Saints,Louisiana Superdome,2:00pm,Away,GNB,Green Bay Packers
197709180min,,16,,,3,1,0,166,30,18,1,196,9,16,35,1,131,,,,3,297,1,85,30,"Sunday Sep 18, 1977",,20,,,5,2,3,138,32,13,1,182,6,10,43,0,156,,,,4,294,5,35,44,MIN,Minnesota Vikings,Metropolitan Stadium,2:00pm,Away,DAL,Dallas Cowboys
197709180chi,,20,,,3,1,0,195,25,17,0,239,6,20,30,2,168,,,,6,363,1,50,44,"Sunday Sep 18, 1977",,16,,,2,0,0,40,9,4,0,45,2,30,48,3,260,,,,1,300,0,15,5,DET,Detroit Lions,Soldier Field,2:00pm,Home,CHI,Chicago Bears
197709180den,,12,,,2,0,1,204,36,19,0,222,7,0,30,0,69,,,,2,273,1,57,18,"Sunday Sep 18, 1977",,15,,,4,3,1,122,20,12,0,144,8,7,40,1,136,,,,2,258,4,74,22,CRD,St. Louis Cardinals,Mile High Stadium,4:00pm,Home,DEN,Denver Broncos
